Under Bridges,,,,,Over Bridges,,,
Structure_No,Type_Desc,Easting,Northing,,Structure_No,Type_Desc,Easting,Northing
5.067,Bridge (Underline),319284.8656,384958.1258,,4.342,Bridge (Overline),341774.5691,380489.2026
5.066,Bridge (Underline),319544.3421,384880.5271,,4.343,Bridge (Overline),341926.3222,380567.6814
5.065,Bridge (Underline),319784.8475,384809.5091,,4.344,Bridge (Overline),342205.2237,380685.0347
5.062,Bridge (Underline),320196.3825,384707.8776,,1.198,Bridge (Overline),306903.6221,330986.7589
05.059 05.059A,Bridge (Underline),322996.4251,385395.8151,,1.202,Bridge (Overline),306448.8658,332750.3474
05.058A,Bridge (Underline),323156.9957,385466.253,,1.206,Bridge (Overline),306699.6239,335721.642
5.057,Bridge (Underline),323790.8237,385749.3349,,1.214,Bridge (Overline),306790.2403,337317.4817
5.004,Bridge (Underline),334469.6736,379481.0591,,1.215,Bridge (Overline),306844.5227,337664.7008
5.007,Bridge (Underline),334992.9655,380726.8394,,1.22,Bridge (Overline),306299.5625,343706.151
5.008,Bridge (Underline),335099.064,381034.644,,1.233,Bridge (Overline),303797.8297,350719.9707
4.325,Bridge (Underline),336569.0767,375009.9957,,1.232,Bridge (Overline),304217.7614,349628.3478
4.326,Bridge (Underline),336622.3033,375046.4998,,1.228,Bridge (Overline),305110.2659,347225.9273
4.328,Tunnel (Underline),337931.5474,376391.3612,,1.224,Bridge (Overline),306266.635,344921.0678
4.329,Bridge (Underline),338197.6144,376841.7819,,1.222,Bridge (Overline),306357.1689,344192.2657
6.416,Bridge (Underline),337294.6015,385737.5736,,1.237,Bridge (Overline),300834.4285,353346.3565
6.418,Bridge (Underline),339962.6705,387676.0118,,1.238,Bridge (Overline),300699.2793,353703.2466
6.423,Bridge (Underline),341217.591,387705.0251,,01.238A,Bridge (Overline),300706.909,353740.3508
6.424,Bridge (Underline),341338.652,387721.4269,,02.245A,Bridge (Overline),302331.8092,355674.3986
6.425,Bridge (Underline),341607.606,387806.4765,,02.246A,Bridge (Overline),302695.0088,356077.734
6.427,Bridge (Underline),341628.3258,387814.2374,,02.252B,Bridge (Overline),305692.6819,358109.8228
6.429,Bridge (Underline),342804.4086,388274.5692,,2.254,Bridge (Overline),307076.5158,358638.1823
6.43,Bridge (Underline),343174.5533,388400.2834,,2.265,Bridge (Overline),311911.6655,361665.2331
6.431,Bridge (Underline),343535.4846,388463.7205,,2.264,Bridge (Overline),311320.6383,361466.5608
6.432,Bridge (Underline),344676.0499,388661.0027,,2.26,Bridge (Overline),309188.3326,359941.6891
6.465,Bridge (Underline),340534.5121,402484.2692,,2.257,Bridge (Overline),308167.1456,359112.0656
06.457A,Bridge (Underline),340251.0164,402142.8207,,2.271,Bridge (Overline),317139.478,362192.2125
6.455,Bridge (Underline),340774.6134,400273.4202,,2.273,Bridge (Overline),319827.409,362843.3658
6.454,Bridge (Underline),340947.7297,399961.5651,,2.274,Bridge (Overline),320486.114,362977.0708
6.453,Bridge (Underline),340970.7344,399928.5514,,02.278A,Bridge (Overline),324068.0342,363898.1545
6.442,Bridge (Underline),345532.3359,396413.6256,,2.28,Bridge (Overline),325108.2089,364247.5539
6.452,Bridge (Underline),342430.5686,398986.8754,,2.281,Bridge (Overline),325420.046,364325.6727
6.451,Bridge (Underline),342983.9504,398693.1523,,02.281A,Bridge (Overline),326151.1055,364490.1912
6.449,Bridge (Underline),343339.4378,398660.9287,,2.284,Bridge (Overline),326740.1779,364635.6076
6.448,Bridge (Underline),343469.0853,398687.6217,,2.285,Bridge (Overline),327221.2877,364785.4244
6.447,Bridge (Underline),343525.5371,398692.4222,,2.289,Bridge (Overline),327606.3206,366356.8414
6.44,Bridge (Underline),346931.1158,392665.9737,,2.29,Bridge (Overline),327696.3019,366648.0742
06.440A,Bridge (Underline),346937.533,392658.8429,,2.294,Bridge (Overline),328740.8482,368435.4354
6.438,Bridge (Underline),347530.144,391544.6374,,4.376,Bridge (Overline),350014.0686,381258.3892
06.437A,Bridge (Underline),347516.1548,391218.9407,,4.374,Bridge (Overline),348897.4894,381561.0533
6.435,Bridge (Underline),346854.1009,390608.0219,,4.365,Bridge (Overline),346934.2502,381830.9537
6.434,Bridge (Underline),346480.5497,390307.1481,,4.357,Bridge (Overline),345291.649,382371.7146
1.161,Bridge (Underline),306066.7115,314693.8144,,4.354,Bridge (Overline),344600.0001,381965.6989
1.162,Bridge (Underline),305894.9149,314966.6551,,02.307C,Bridge (Overline),332905.2668,373308.5441
1.163,Bridge (Underline),305793.7819,315127.5932,,02.307A,Bridge (Overline),332843.0083,373364.7404
1.164,Bridge (Underline),305548.9956,315517.027,,02.307B,Bridge (Overline),333385.7415,373736.1523
1.171,Bridge (Underline),305805.8575,319452.3401,,3.31,Bridge (Overline),333455.0606,373044.1743
1.172,Bridge (Underline),305951.7625,319841.414,,03.310A,Bridge (Overline),333516.4696,373050.125
1.173,Bridge (Underline),306223.8591,320379.3445,,3.311,Bridge (Overline),333661.5828,373089.9795
1.174,Bridge (Underline),306342.7178,320512.6995,,03.311A,Bridge (Overline),333679.3662,373092.9298
1.175,Bridge (Underline),306630.5358,320743.9056,,03.313A,Bridge (Overline),334657.8268,373876.198
1.176,Bridge (Underline),306866.7355,320872.7801,,3.314,Bridge (Overline),334648.9515,373927.9138
1.178,Bridge (Underline),307668.9205,321277.0956,,05.002B,Bridge (Overline),334324.8244,377654.3834
1.183,Bridge (Underline),308285.4682,323475.0131,,02.255A,Bridge (Overline),307793.1324,358916.7337
1.184,Bridge (Underline),308107.576,323822.9223,,02.265A,Bridge (Overline),312112.7603,361711.4583
1.188,Bridge (Underline),307192.9577,325523.0037,,2.283,Bridge (Overline),326665.9263,364614.6152
1.191,Bridge (Underline),307033.7068,327120.2635,,04.329A,Bridge (Overline),338463.7062,377296.7432
1.192,Bridge (Underline),306980.6947,327528.4595,,4.347,Bridge (Overline),343566.4819,381259.6794
1.194,Bridge (Underline),306507.2477,328807.2035,,4.349,Bridge (Overline),343650.5243,381279.6416
1.196,Bridge (Underline),306471.2271,329801.5454,,4.35,Bridge (Overline),343861.8058,381358.0704
1.197,Bridge (Underline),306512.7081,329964.8938,,5.078,Bridge (Overline),315311.8168,387019.2479
2.301,Bridge (Underline),331705.5938,371054.2003,,6.428,Tunnel,342327.0848,388091.0986
2.3,Bridge (Underline),331497.7437,370871.5297,,8.167,Bridge (Overline),295013.337,425380.9972
2.297,Bridge (Underline),329207.3254,368980.7668,,8.186,Bridge (Overline),285349.9248,432664.2773
2.295,Bridge (Underline),329170.0428,368926.7607,,09.255A,Bridge (Overline),284940.4933,434527.187
4.331,Bridge (Underline),339602.5971,379240.382,,10.220B,Bridge (Overline),246938.5716,421457.2554
4.332,Bridge (Underline),339705.0003,379345.6439,,10.222,Bridge (Overline),243933.442,416962.8494
4.334,Bridge (Underline),340223.3184,379587.9811,,TL 06.436,Tunnel (Overline),347381.3685,391021.0885
4.335,Bridge (Underline),340432.0759,379637.5167,,06.457B,Bridge (Overline),340285.7089,402220.4795
4.337,Bridge (Underline),340711.4063,379732.0874,,10.220A,Bridge (Overline),248369.4211,422303.8207
4.345,Culvert,342358.0491,380753.5324,,2.304,Bridge (Overline),332296.3489,371985.3551
4.346,Bridge (Underline),342518.1991,380831.8912,,,,,
1.201,Bridge (Underline),306475.1533,332582.0585,,,,,
1.203,Bridge (Underline),306259.459,333221.2905,,,,,
1.207,Bridge (Underline),306685.8492,336287.5857,,,,,
1.209,Bridge (Underline),306681.1394,336378.2359,,,,,
1.211,Bridge (Underline),306711.683,336892.3038,,,,,
1.212,Bridge (Underline),306731.5038,336976.9133,,,,,
1.213,Bridge (Underline),306760.6452,337113.5687,,,,,
1.216,Bridge (Underline),306831.1026,337980.2763,,,,,
1.219,Bridge (Underline),306427.4449,343037.6057,,,,,
1.234,Bridge (Underline),301141.7043,352979.7152,,,,,
1.231,Bridge (Underline),304313.2608,349278.6284,,,,,
1.23,Bridge (Underline),304757.4757,348088.3044,,,,,
1.225,Bridge (Underline),306068.9633,345440.8163,,,,,
1.223,Bridge (Underline),306317.1397,344665.369,,,,,
1.235,Bridge (Underline),301083.0585,353052.1033,,,,,
1.236,Bridge (Underline),301046.9225,353095.4782,,,,,
1.239,Bridge (Underline),300819.8949,353937.263,,,,,
01.239A,Bridge (Underline),300888.8676,354007.1709,,,,,
1.241,Bridge (Underline),301155.3965,354249.3181,,,,,
1.242,Bridge (Underline),301246.2356,354343.8988,,,,,
2.243,Bridge (Underline),301353.5136,354455.5213,,,,,
02.249A,Bridge (Underline),303400.8861,356790.8843,,,,,
02.251A,Bridge (Underline),304609.9375,357594.9548,,,,,
02.252A,Bridge (Underline),305478.0268,358029.4437,,,,,
02.252C,Bridge (Underline),305976.2519,358220.2652,,,,,
2.253,Bridge (Underline),306560.8702,358445.9606,,,,,
2.268,Bridge (Underline),315610.8443,361844.7233,,,,,
2.266,Bridge (Underline),314423.8572,361738.6714,,,,,
2.262,Bridge (Underline),310399.9987,360969.4448,,,,,
2.259,Bridge (Underline),308529.6193,359369.1446,,,,,
2.258,Bridge (Underline),308276.3208,359175.5928,,,,,
2.269,Bridge (Underline),315824.3363,361887.9682,,,,,
2.27,Bridge (Underline),315833.8962,361896.7792,,,,,
02.270A,Bridge (Underline),316049.3348,361934.0734,,,,,
2.272,Bridge (Underline),319130.7946,362677.067,,,,,
2.275,Bridge (Underline),321983.9979,363282.5252,,,,,
2.276,Bridge (Underline),322484.2603,363425.8214,,,,,
2.277,Bridge (Underline),323509.4972,363732.5359,,,,,
2.278,Bridge (Underline),323555.5395,363746.2174,,,,,
2.282,Bridge (Underline),326384.9132,364538.6567,,,,,
2.286,Bridge (Underline),327650.507,365463.2808,,,,,
2.287,Bridge (Underline),327570.6383,366090.9914,,,,,
2.288,Bridge (Underline),327573.8716,366162.6595,,,,,
2.291,Bridge (Underline),328343.5334,367813.9654,,,,,
2.292,Bridge (Underline),328499.1303,368091.1466,,,,,
2.293,Bridge (Underline),328674.5974,368351.2759,,,,,
4.369,Bridge (Underline),348094.6528,382190.0141,,,,,
4.359,Bridge (Underline),345805.6037,382161.2309,,,,,
4.375,Bridge (Underline),349102.4032,381264.1099,,,,,
4.373,Bridge (Underline),348735.6568,381845.5053,,,,,
4.372,Bridge (Underline),348186.4074,382168.0216,,,,,
4.37,Bridge (Underline),348155.6328,382176.4726,,,,,
4.367,Bridge (Underline),347321.8814,382061.3796,,,,,
4.366,Bridge (Underline),346984.4166,381855.1964,,,,,
03.315B,Bridge (Underline),334694.268,374398.5368,,,,,
4.364,Bridge (Underline),346637.1941,381777.0976,,,,,
4.362,Bridge (Underline),346327.4438,381841.7549,,,,,
4.36,Bridge (Underline),346093.6938,381971.2595,,,,,
4.356,Bridge (Underline),345072.9605,382338.6609,,,,,
4.352,Bridge (Underline),344340.0534,381705.4596,,,,,
03.312A,Bridge (Underline),334425.9079,373359.6299,,,,,
3.315,Bridge (Underline),334648.1927,374083.5414,,,,,
03.315C,Bridge (Underline),334607.3469,374587.8682,,,,,
03.315D,Bridge (Underline),334466.2011,374679.7985,,,,,
03.315E,Bridge (Underline),334342.4181,374750.2764,,,,,
03.315F,Bridge (Underline),334256.6765,375465.0869,,,,,
5.011,Bridge (Underline),335169.2162,381520.8188,,,,,
09.256A,Bridge (Underline),284882.3424,434857.2242,,,,,
09.261A,Bridge (Underline),285402.5988,439678.5371,,,,,
01.189A,Bridge (Underline),307132.9098,326446.2276,,,,,
1.204,Bridge (Underline),306118.8906,333896.0664,,,,,
1.205,Bridge (Underline),306090.7967,334203.9011,,,,,
1.208,Bridge (Underline),306685.7832,336321.1095,,,,,
1.218,Bridge (Underline),306201.902,341008.8373,,,,,
1.226,Bridge (Underline),305670.8815,346074.7477,,,,,
