Site,Site ID,Year,Electricity (kBtu),Natural Gas (kBtu),Steam (kBtu),Total Energy (kBtu),Total Energy Cost ($),Area (SqFt),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water (kGal),Sewer (kGal),Water Cost ($),Sewer Cost ($),Address Line 1,City,State,Zip Code,Zip Code +4,Department,Division/Department detail
Light: Round Hill Road Lights,LGHT048,2013,0,0,0,0,45,0,,,,,0,0,0,0,,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Round Hill Road Lights,LGHT048,2012,0,0,0,0,-145,0,,,,,0,0,0,0,,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Round Hill Road Lights,LGHT048,2011,10,0,0,10,-136,0,,,,,0,0,0,0,,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Round Hill Road Lights,LGHT048,2010,20,0,0,20,153,0,,,,,0,0,0,0,,Elizabeth,PA,15037,,Public Works,Streetlights
Light: S Express Sect 14A,LGHT029,2014,"177,704",0,0,"177,704","4,673",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 14A,LGHT029,2013,"269,696",0,0,"269,696","6,666",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 14A,LGHT029,2012,"249,223",0,0,"249,223","6,994",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 14A,LGHT029,2011,"261,233",0,0,"261,233","6,852",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 14A,LGHT029,2010,"223,017",0,0,"223,017","6,616",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 14B,LGHT043,2014,0,0,0,0,0,0,,,,,0,0,0,0,,,PA,,,Public Works,Streetlights
Light: S Express Sect 14B,LGHT043,2013,0,0,0,0,0,0,,,,,0,0,0,0,,,PA,,,Public Works,Streetlights
Light: S Express Sect 14B,LGHT043,2012,"549,764",0,0,"549,764","13,268",0,,,,,0,0,0,0,,,PA,,,Public Works,Streetlights
Light: S Express Sect 14B,LGHT043,2011,"562,867",0,0,"562,867","14,232",0,,,,,0,0,0,0,,,PA,,,Public Works,Streetlights
Light: S Express Sect 14B,LGHT043,2010,"248,404",0,0,"248,404","5,567",0,,,,,0,0,0,0,,,PA,,,Public Works,Streetlights
Light: S Express Sect 15,LGHT041,2014,"575,423",0,0,"575,423","14,461",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 15,LGHT041,2013,"660,590",0,0,"660,590","15,945",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 15,LGHT041,2012,"1,286,240",0,0,"1,286,240","23,135",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 15,LGHT041,2011,"1,452,207",0,0,"1,452,207","22,260",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 15,LGHT041,2010,"792,708",0,0,"792,708","18,160",0,,,,,0,0,0,0,,Corapolis,PA,15108,,Public Works,Streetlights
Light: S Express Sect 18B,LGHT013,2014,"186,166",0,0,"186,166","4,850",0,,,,,0,0,0,0,Rt 60 @ Gringo Rd,Clinton,PA,15026,,Public Works,Streetlights
Light: S Express Sect 18B,LGHT013,2013,"183,983",0,0,"183,983","4,666",0,,,,,0,0,0,0,Rt 60 @ Gringo Rd,Clinton,PA,15026,,Public Works,Streetlights
Light: S Express Sect 18B,LGHT013,2012,"122,837",0,0,"122,837","3,474",0,,,,,0,0,0,0,Rt 60 @ Gringo Rd,Clinton,PA,15026,,Public Works,Streetlights
Light: S Express Sect 18B,LGHT013,2011,"157,777",0,0,"157,777","4,518",0,,,,,0,0,0,0,Rt 60 @ Gringo Rd,Clinton,PA,15026,,Public Works,Streetlights
Light: S Express Sect 18B,LGHT013,2010,"159,961",0,0,"159,961","4,736",0,,,,,0,0,0,0,Rt 60 @ Gringo Rd,Clinton,PA,15026,,Public Works,Streetlights
Light: Suttersville Bridge,LGHT047,2014,0,0,0,0,418,0,,,,,0,0,0,0,Suttersville Bridge,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Suttersville Bridge,LGHT047,2013,0,0,0,0,439,0,,,,,0,0,0,0,Suttersville Bridge,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Suttersville Bridge,LGHT047,2012,"9,912",0,0,"9,912",503,0,,,,,0,0,0,0,Suttersville Bridge,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Suttersville Bridge,LGHT047,2011,"19,241",0,0,"19,241",536,0,,,,,0,0,0,0,Suttersville Bridge,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Suttersville Bridge,LGHT047,2010,"15,655",0,0,"15,655",493,0,,,,,0,0,0,0,Suttersville Bridge,Elizabeth,PA,15037,,Public Works,Streetlights
Light: Thompson Ave,LGHT019,2014,"5,159",0,0,"5,159",240,0,,,,,0,0,0,0,Thompson Ave,Pittsburgh,PA,15234,,Public Works,Streetlights
Light: Thompson Ave,LGHT019,2013,"5,589",0,0,"5,589",265,0,,,,,0,0,0,0,Thompson Ave,Pittsburgh,PA,15234,,Public Works,Streetlights
Light: Thompson Ave,LGHT019,2012,"4,729",0,0,"4,729",247,0,,,,,0,0,0,0,Thompson Ave,Pittsburgh,PA,15234,,Public Works,Streetlights
Light: Thompson Ave,LGHT019,2011,"2,580",0,0,"2,580",139,0,,,,,0,0,0,0,Thompson Ave,Pittsburgh,PA,15234,,Public Works,Streetlights
Light: Thompson Ave,LGHT019,2010,0,0,0,0,123,0,,,,,0,0,0,0,Thompson Ave,Pittsburgh,PA,15234,,Public Works,Streetlights
Light: White Oak Park Entrance,LGHT51A,2014,"2,498",0,0,"2,498",195,0,,,,,0,0,0,0,3 Muse Lane,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Entrance,LGHT51A,2013,"2,211",0,0,"2,211",158,0,,,,,0,0,0,0,3 Muse Lane,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Entrance,LGHT51A,2012,"3,849",0,0,"3,849",227,0,,,,,0,0,0,0,3 Muse Lane,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Entrance,LGHT51A,2011,409,0,0,409,20,0,,,,,0,0,0,0,3 Muse Lane,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Entrance,LGHT51A,2010,0,0,0,0,0,0,,,,,0,0,0,0,3 Muse Lane,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Office,LGHT010,2014,"30,539",0,0,"30,539","1,172",0,,,,,0,0,0,0,Muse Ln,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Office,LGHT010,2013,"27,707",0,0,"27,707","1,028",0,,,,,0,0,0,0,Muse Ln,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Office,LGHT010,2012,"36,544",0,0,"36,544",941,0,,,,,0,0,0,0,Muse Ln,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Office,LGHT010,2011,"68,448",0,0,"68,448","1,406",0,,,,,0,0,0,0,Muse Ln,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Office,LGHT010,2010,"26,478",0,0,"26,478","1,745",0,,,,,0,0,0,0,Muse Ln,White Oak ,PA,15131,,Facilities,Streetlights
Light: White Oak Park Playground,LGHT51,2014,"22,575",0,0,"22,575","1,157",0,,,,,0,0,0,0,McClintock Rd,White Oak ,PA,15222,4325,Facilities,Streetlights
Light: White Oak Park Playground,LGHT51,2013,"23,257",0,0,"23,257","1,241",0,,,,,0,0,0,0,McClintock Rd,White Oak ,PA,15222,4325,Facilities,Streetlights
Light: White Oak Park Playground,LGHT51,2012,"28,580",0,0,"28,580","1,319",0,,,,,0,0,0,0,McClintock Rd,White Oak ,PA,15222,4325,Facilities,Streetlights
Light: White Oak Park Playground,LGHT51,2011,"32,893",0,0,"32,893","1,408",0,,,,,0,0,0,0,McClintock Rd,White Oak ,PA,15222,4325,Facilities,Streetlights
Light: White Oak Park Playground,LGHT51,2010,"24,895",0,0,"24,895","1,316",0,,,,,0,0,0,0,McClintock Rd,White Oak ,PA,15222,4325,Facilities,Streetlights
Light: Windgap Bridge,LGHT026,2014,"13,430",0,0,"13,430",554,0,,,,,0,0,0,0,Windgap Ave,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Windgap Bridge,LGHT026,2013,"15,191",0,0,"15,191",578,0,,,,,0,0,0,0,Windgap Ave,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Windgap Bridge,LGHT026,2012,"25,100",0,0,"25,100",646,0,,,,,0,0,0,0,Windgap Ave,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Windgap Bridge,LGHT026,2011,"31,446",0,0,"31,446",700,0,,,,,0,0,0,0,Windgap Ave,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Windgap Bridge,LGHT026,2010,"12,161",0,0,"12,161",539,0,,,,,0,0,0,0,Windgap Ave,Pittsburgh,PA,15205,,Public Works,Streetlights
Light: Windgap/Chartiers,LGHT020,2014,"5,159",0,0,"5,159",240,0,,,,,0,0,0,0,3844 Windgap Ave,Pittsburgh,PA,15204,,Public Works,Streetlights
Light: Windgap/Chartiers,LGHT020,2013,"5,589",0,0,"5,589",265,0,,,,,0,0,0,0,3844 Windgap Ave,Pittsburgh,PA,15204,,Public Works,Streetlights
Light: Windgap/Chartiers,LGHT020,2012,"4,729",0,0,"4,729",247,0,,,,,0,0,0,0,3844 Windgap Ave,Pittsburgh,PA,15204,,Public Works,Streetlights
Light: Windgap/Chartiers,LGHT020,2011,"2,580",0,0,"2,580",139,0,,,,,0,0,0,0,3844 Windgap Ave,Pittsburgh,PA,15204,,Public Works,Streetlights
Light: Windgap/Chartiers,LGHT020,2010,0,0,0,0,123,0,,,,,0,0,0,0,3844 Windgap Ave,Pittsburgh,PA,15204,,Public Works,Streetlights
Light: Worton Bld Homeville Br,LGHT032,2014,"27,468",0,0,"27,468","1,014",0,,,,,0,0,0,0,,West Mifflin,PA,15122,,Public Works,Streetlights
Light: Worton Bld Homeville Br,LGHT032,2013,"29,344",0,0,"29,344","1,038",0,,,,,0,0,0,0,,West Mifflin,PA,15122,,Public Works,Streetlights
Light: Worton Bld Homeville Br,LGHT032,2012,"46,234",0,0,"46,234","1,141",0,,,,,0,0,0,0,,West Mifflin,PA,15122,,Public Works,Streetlights
Light: Worton Bld Homeville Br,LGHT032,2011,"57,119",0,0,"57,119","1,199",0,,,,,0,0,0,0,,West Mifflin,PA,15122,,Public Works,Streetlights
Light: Worton Bld Homeville Br,LGHT032,2010,"17,948",0,0,"17,948",730,0,,,,,0,0,0,0,,West Mifflin,PA,15122,,Public Works,Streetlights
Light: Xmas Lights Middle Rd,LGHT056,2014,31,0,0,31,96,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Xmas Lights Middle Rd,LGHT056,2013,0,0,0,0,84,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Xmas Lights Middle Rd,LGHT056,2012,"14,467",0,0,"14,467",614,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Xmas Lights Middle Rd,LGHT056,2011,"25,932",0,0,"25,932",961,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Light: Xmas Lights Middle Rd,LGHT056,2010,"1,058",0,0,"1,058",386,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Facilities,Streetlights
Maint Bldg Crghtn,MBC,2014,0,0,0,0,"1,492","1,800",0.00,0.00,0.00,0.00,0,0,0,0,,Latrobe,PA,,,Public Works,
Maint Bldg Crghtn,MBC,2013,0,0,0,0,"1,540","1,800",0.00,0.00,0.00,0.00,0,0,0,0,,Latrobe,PA,,,Public Works,
Maint Bldg Crghtn,MBC,2012,"31,259",0,0,"31,259","1,560","1,800",17.37,54.53,17.21,54.18,0,0,0,0,,Latrobe,PA,,,Public Works,
Maint Bldg Crghtn,MBC,2011,"65,332",0,0,"65,332","1,398","1,800",36.30,113.97,35.96,112.90,0,0,0,0,,Latrobe,PA,,,Public Works,
Maint Bldg Crghtn,MBC,2010,"58,088",0,0,"58,088","1,541","1,800",32.27,101.33,31.97,100.38,0,0,0,0,,Latrobe,PA,,,Public Works,
Maint Bldg Elizabeth,MBE,2014,0,"1,826,280",0,"1,826,280","8,637",0,,,,,0,0,0,0,651 Round Hill Rd,Elizabeth,PA,15037,,Public Works,District 4
Maint Bldg Elizabeth,MBE,2013,0,"1,882,710",0,"1,882,710","8,765",0,,,,,64,0,713,0,651 Round Hill Rd,Elizabeth,PA,15037,,Public Works,District 4
Maint Bldg Elizabeth,MBE,2012,"17,136","2,627,586",0,"2,644,722","7,680",0,,,,,69,0,807,0,651 Round Hill Rd,Elizabeth,PA,15037,,Public Works,District 4
Maint Bldg Elizabeth,MBE,2011,"29,853","554,040",0,"583,893","4,027",0,,,,,"4,270",0,770,0,651 Round Hill Rd,Elizabeth,PA,15037,,Public Works,District 4
Maint Bldg Elizabeth,MBE,2010,"22,083","850,554",0,"872,637","8,064",0,,,,,"7,672",64,769,788,651 Round Hill Rd,Elizabeth,PA,15037,,Public Works,District 4
McHafey Rd Pumping Station,MRPS,2014,0,0,0,0,"1,243",0,,,,,0,0,0,0,Mahaffey Rd,Latrobe,PA,,,Parks,Deer Lakes Park
McHafey Rd Pumping Station,MRPS,2013,0,0,0,0,"1,566",0,,,,,962,0,"5,302",0,Mahaffey Rd,Latrobe,PA,,,Parks,Deer Lakes Park
McHafey Rd Pumping Station,MRPS,2012,"49,817",0,0,"49,817","1,810",0,,,,,"6,524",0,"24,050",0,Mahaffey Rd,Latrobe,PA,,,Parks,Deer Lakes Park
McHafey Rd Pumping Station,MRPS,2011,"78,070",0,0,"78,070","1,870",0,,,,,"5,484",0,"20,044",0,Mahaffey Rd,Latrobe,PA,,,Parks,Deer Lakes Park
McHafey Rd Pumping Station,MRPS,2010,"22,657",0,0,"22,657",647,0,,,,,"3,054",0,"10,998",0,Mahaffey Rd,Latrobe,PA,,,Parks,Deer Lakes Park
Medical Examiner Parking Lot,ACMEPL,2014,"29,617",0,0,"29,617","1,205",0,,,,,0,0,0,0,1595 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Medical Examiner Parking Lot,ACMEPL,2013,"46,269",0,0,"46,269","1,352",0,,,,,0,0,0,0,1595 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Medical Examiner Parking Lot,ACMEPL,2012,"61,555",0,0,"61,555","1,771",0,,,,,0,0,0,0,1595 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Medical Examiner Parking Lot,ACMEPL,2011,"61,105",0,0,"61,105","2,133",0,,,,,0,0,0,0,1595 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Medical Examiner Parking Lot,ACMEPL,2010,"24,363",0,0,"24,363",985,0,,,,,0,0,0,0,1595 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Middle Rd,MRRES,2014,955,0,0,955,127,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Middle Rd,MRRES,2013,"1,160",0,0,"1,160",329,0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Middle Rd,MRRES,2012,"185,825",0,0,"185,825","4,852",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Middle Rd,MRRES,2011,"179,888",0,0,"179,888","4,731",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Middle Rd,MRRES,2010,"15,491",0,0,"15,491","2,676",0,,,,,0,0,0,0,Middle Rd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Oakdale Maint Bldg,OMB,2014,0,0,0,0,913,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Parks,Settlers Cabin Park
Oakdale Maint Bldg,OMB,2013,0,0,0,0,"1,062",0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Parks,Settlers Cabin Park
Oakdale Maint Bldg,OMB,2012,"22,551",0,0,"22,551",966,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Parks,Settlers Cabin Park
Oakdale Maint Bldg,OMB,2011,"45,003",0,0,"45,003","1,177",0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Parks,Settlers Cabin Park
Oakdale Maint Bldg,OMB,2010,"33,865",0,0,"33,865",999,0,,,,,0,0,0,0,1225 Greer Rd,Oakdale,PA,15071,,Parks,Settlers Cabin Park
Parish Hall,PHB,2014,0,"440,154",0,"440,154","4,153",0,,,,,0,0,0,0,720 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Parish Hall,PHB,2013,0,"419,634",0,"419,634","4,010",0,,,,,0,0,0,0,720 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Parish Hall,PHB,2012,0,"400,140",0,"400,140","3,915",0,,,,,0,0,0,0,720 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Parish Hall,PHB,2011,0,"471,960",0,"471,960","5,214",0,,,,,0,0,0,0,720 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Parish Hall,PHB,2010,0,"420,660",0,"420,660","4,456",0,,,,,0,0,0,0,720 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Park Maint Center,PMC,2014,0,"427,842",0,"427,842","4,607","4,365",98.02,102.92,97.11,102.26,0,0,0,0,Hartford Dr,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Maint Center,PMC,2013,0,"384,750",0,"384,750","4,301","4,365",88.14,92.55,88.14,92.49,0,0,0,0,Hartford Dr,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Maint Center,PMC,2012,"10,155","354,996",0,"365,151","4,211","4,365",83.65,92.70,82.88,92.11,0,0,0,0,Hartford Dr,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Maint Center,PMC,2011,"20,780","421,686",0,"442,466","5,146","4,365",101.37,116.38,100.43,115.29,0,0,0,0,Hartford Dr,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Maint Center,PMC,2010,"20,961","362,178",0,"383,139","4,512","4,365",87.78,102.20,86.97,101.24,0,0,0,0,Hartford Dr,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Mgr Resid,PMR,2014,"5,732",0,0,"5,732",576,0,,,,,0,0,0,0,,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Mgr Resid,PMR,2013,0,0,0,0,350,0,,,,,0,0,0,0,,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Mgr Resid,PMR,2012,"5,623",0,0,"5,623",525,0,,,,,0,0,0,0,,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Mgr Resid,PMR,2011,"8,646",0,0,"8,646",285,0,,,,,0,0,0,0,,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Park Mgr Resid,PMR,2010,"7,111",0,0,"7,111",243,0,,,,,0,0,0,0,,Natrona Heights,PA,15065,,Parks,Harrison Hills Park
Police Shack-31st St Brdg,POSHK,2014,0,0,0,0,0,0,,,,,0,0,0,0,31st St Brdg  Ramp E Ohio at Rialto St,Pittsburgh,PA,15212,,Police,
Police Shack-31st St Brdg,POSHK,2013,0,0,0,0,0,0,,,,,0,0,0,0,31st St Brdg  Ramp E Ohio at Rialto St,Pittsburgh,PA,15212,,Police,
Police Shack-31st St Brdg,POSHK,2012,0,0,0,0,0,0,,,,,0,0,0,0,31st St Brdg  Ramp E Ohio at Rialto St,Pittsburgh,PA,15212,,Police,
Police Shack-31st St Brdg,POSHK,2011,"1,884",0,0,"1,884",119,0,,,,,0,0,0,0,31st St Brdg  Ramp E Ohio at Rialto St,Pittsburgh,PA,15212,,Police,
Police Shack-31st St Brdg,POSHK,2010,"1,351",0,0,"1,351",146,0,,,,,0,0,0,0,31st St Brdg  Ramp E Ohio at Rialto St,Pittsburgh,PA,15212,,Police,
Poll Moni: Anderson St,MS07,2014,"38,079",0,0,"38,079","1,487",0,,,,,0,0,0,0,Anderson St,Braddock,PA,15104,2502,Health Department,Air Quality
Poll Moni: Anderson St,MS07,2013,"26,069",0,0,"26,069",932,0,,,,,0,0,0,0,Anderson St,Braddock,PA,15104,2502,Health Department,Air Quality
Poll Moni: Anderson St,MS07,2012,"30,573",0,0,"30,573",769,0,,,,,0,0,0,0,Anderson St,Braddock,PA,15104,2502,Health Department,Air Quality
Poll Moni: Anderson St,MS07,2011,"35,213",0,0,"35,213",773,0,,,,,0,0,0,0,Anderson St,Braddock,PA,15104,2502,Health Department,Air Quality
Poll Moni: Anderson St,MS07,2010,"13,297",0,0,"13,297",627,0,,,,,0,0,0,0,Anderson St,Braddock,PA,15104,2502,Health Department,Air Quality
Poll Moni: Avalon,MS08,2014,"40,877",0,0,"40,877","1,281",0,,,,,0,0,0,0,520 Orchard Ave,Pittsburgh,PA,15202,2418,Health Department,Air Quality
Poll Moni: Avalon,MS08,2013,"39,410",0,0,"39,410","1,258",0,,,,,0,0,0,0,520 Orchard Ave,Pittsburgh,PA,15202,2418,Health Department,Air Quality
Poll Moni: Avalon,MS08,2012,"68,686",0,0,"68,686","1,583",0,,,,,0,0,0,0,520 Orchard Ave,Pittsburgh,PA,15202,2418,Health Department,Air Quality
Poll Moni: Avalon,MS08,2011,"84,382",0,0,"84,382","1,512",0,,,,,0,0,0,0,520 Orchard Ave,Pittsburgh,PA,15202,2418,Health Department,Air Quality
Poll Moni: Avalon,MS08,2010,"48,350",0,0,"48,350","1,605",0,,,,,0,0,0,0,520 Orchard Ave,Pittsburgh,PA,15202,2418,Health Department,Air Quality
Poll Moni: Evergreen Pk/Harper Dr,MS01,2014,"17,061",0,0,"17,061",837,0,,,,,0,0,0,0,Evergreen Pike,Monroeville,PA,15146,,Health Department,Air Quality
Poll Moni: Evergreen Pk/Harper Dr,MS01,2013,0,0,0,0,0,0,,,,,0,0,0,0,Evergreen Pike,Monroeville,PA,15146,,Health Department,Air Quality
Poll Moni: Evergreen Pk/Harper Dr,MS01,2012,0,0,0,0,0,0,,,,,0,0,0,0,Evergreen Pike,Monroeville,PA,15146,,Health Department,Air Quality
Poll Moni: Evergreen Pk/Harper Dr,MS01,2011,0,0,0,0,0,0,,,,,0,0,0,0,Evergreen Pike,Monroeville,PA,15146,,Health Department,Air Quality
Poll Moni: Evergreen Pk/Harper Dr,MS01,2010,0,0,0,0,0,0,,,,,0,0,0,0,Evergreen Pike,Monroeville,PA,15146,,Health Department,Air Quality
Poll Moni: Semple,MS02,2014,"14,290",0,0,"14,290",575,0,,,,,0,0,0,0,416 Semple St,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Semple,MS02,2013,"15,518",0,0,"15,518",550,0,,,,,0,0,0,0,416 Semple St,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Semple,MS02,2012,"28,662",0,0,"28,662",753,0,,,,,0,0,0,0,416 Semple St,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Semple,MS02,2011,"30,955",0,0,"30,955",697,0,,,,,0,0,0,0,416 Semple St,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Semple,MS02,2010,"15,600",0,0,"15,600",616,0,,,,,0,0,0,0,416 Semple St,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Wash Blvd,MS04,2014,0,0,0,0,97,0,,,,,0,0,0,0,39 Washington Blvd,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Wash Blvd,MS04,2013,0,0,0,0,84,0,,,,,0,0,0,0,39 Washington Blvd,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Wash Blvd,MS04,2012,0,0,0,0,91,0,,,,,0,0,0,0,39 Washington Blvd,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Wash Blvd,MS04,2011,0,0,0,0,92,0,,,,,0,0,0,0,39 Washington Blvd,Glassport,PA,15045,,Health Department,Air Quality
Poll Moni: Wash Blvd,MS04,2010,34,0,0,34,67,0,,,,,0,0,0,0,39 Washington Blvd,Glassport,PA,15045,,Health Department,Air Quality
Radio Tower: Boys Home Road,RT04,2014,0,0,0,0,263,0,,,,,0,0,0,0,Boys Home Road,Latrobe,PA,,,Emergency Services,
Radio Tower: Boys Home Road,RT04,2013,0,0,0,0,422,0,,,,,0,0,0,0,Boys Home Road,Latrobe,PA,,,Emergency Services,
Radio Tower: Boys Home Road,RT04,2012,"9,448",0,0,"9,448",548,0,,,,,0,0,0,0,Boys Home Road,Latrobe,PA,,,Emergency Services,
Radio Tower: Boys Home Road,RT04,2011,"18,115",0,0,"18,115",515,0,,,,,0,0,0,0,Boys Home Road,Latrobe,PA,,,Emergency Services,
Radio Tower: Boys Home Road,RT04,2010,"12,802",0,0,"12,802","1,032",0,,,,,0,0,0,0,Boys Home Road,Latrobe,PA,,,Emergency Services,
Radio Tower: Chas St,RT02,2014,409,0,0,409,100,0,,,,,0,0,0,0,Charles St,Pittsburgh,PA,15238,,Emergency Services,
Radio Tower: Chas St,RT02,2013,"11,997",0,0,"11,997",475,0,,,,,0,0,0,0,Charles St,Pittsburgh,PA,15238,,Emergency Services,
Radio Tower: Chas St,RT02,2012,"2,252",0,0,"2,252",142,0,,,,,0,0,0,0,Charles St,Pittsburgh,PA,15238,,Emergency Services,
Radio Tower: Chas St,RT02,2011,"4,299",0,0,"4,299",174,0,,,,,0,0,0,0,Charles St,Pittsburgh,PA,15238,,Emergency Services,
Radio Tower: Chas St,RT02,2010,"15,764",0,0,"15,764",700,0,,,,,0,0,0,0,Charles St,Pittsburgh,PA,15238,,Emergency Services,
Rankin Blvd,RBLV,2014,0,0,0,0,0,0,,,,,0,0,0,0,300 Rankin Blvd,Rankin,PA,15104,,,
Rankin Blvd,RBLV,2013,0,"92,340",0,"92,340",468,0,,,,,0,0,0,0,300 Rankin Blvd,Rankin,PA,15104,,,
Rankin Blvd,RBLV,2012,0,"112,860",0,"112,860",649,0,,,,,0,0,0,0,300 Rankin Blvd,Rankin,PA,15104,,,
Rankin Blvd,RBLV,2011,0,"66,690",0,"66,690",768,0,,,,,0,0,0,0,300 Rankin Blvd,Rankin,PA,15104,,,
Rankin Blvd,RBLV,2010,0,"49,248",0,"49,248",524,0,,,,,0,0,0,0,300 Rankin Blvd,Rankin,PA,15104,,,
Ridge Road Bath House,RRBH,2014,0,"35,910",0,"35,910",935,0,,,,,0,0,0,0,631 Ridge Road,Carnegie,PA,15106,,Parks,Settlers Ridge
Ridge Road Bath House,RRBH,2013,0,"70,794",0,"70,794",322,0,,,,,0,0,0,0,631 Ridge Road,Carnegie,PA,15106,,Parks,Settlers Ridge
Ridge Road Bath House,RRBH,2012,0,0,0,0,0,0,,,,,0,0,0,0,631 Ridge Road,Carnegie,PA,15106,,Parks,Settlers Ridge
Ridge Road Bath House,RRBH,2011,0,0,0,0,0,0,,,,,0,0,0,0,631 Ridge Road,Carnegie,PA,15106,,Parks,Settlers Ridge
Ridge Road Bath House,RRBH,2010,0,0,0,0,0,0,,,,,0,0,0,0,631 Ridge Road,Carnegie,PA,15106,,Parks,Settlers Ridge
Ridge Road Maintenance Bldg,RRMB,2014,0,"2,094,066",0,"2,094,066","9,383",0,,,,,0,0,0,0,Ridge Road,Carnegie,PA,15106,,Public Works,
