FID,OBJECTID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,Shape_Le_1,Bridge_Typ
306,452,MA07KN,Rankin Bridge Kenmawr Ramp,293,203,382.933542,Vehicle
307,205,MA12,HOMESTEAD HIGH LEV,317,3103,3168.166009,Vehicle
308,453,MC06,McLaren's Run Br #6,296,12,42.79454,Vehicle
309,206,CM03,CAMPBELLS RUN NO. 3,318,56,53.730298,Vehicle
310,207,AB04,ABERS CREEK NO. 4,320,53,93.382262,Vehicle
311,454,MC09,McLaren's Run Br #9,297,3,27.651023,Vehicle
312,208,AB03,ABERS CREEK NO. 3,321,46,65.135223,Vehicle
313,209,AB02,ABERS CREEK NO. 2,322,63,68.463733,Vehicle
314,455,ML01,McGlaughlin's Run Br #1,297,51,51.532974,Vehicle
315,210,MT05,MONTOUR RUN NO. 5,324,58,63.823061,Vehicle
316,456,MO04,Moon Run Br #4,298,4,34.773272,Vehicle
317,211,MT04,MONTOUR RUN NO. 4,325,48,46.051366,Vehicle
318,212,MT14,MONTOUR RUN NO. 14,326,20,32.302847,Vehicle
319,457,MO06,Moon Run Br #6,299,4,14.768718,Vehicle
320,213,MN01,"MONTOUR RUN, N. FORK, NO. 1",327,23,37.061474,Vehicle
321,458,MO07,Moon Run Br #7,334,5,19.067897,Vehicle
322,459,MR01,McRobert's Run Br #1,335,10,31.284192,Vehicle
323,214,MT06,MONTOUR RUN NO. 6,328,48,76.841098,Vehicle
324,460,MT15,Montour Run Br #15,352,4,26.231772,Vehicle
325,215,MC01,MCCLARENS RUN NO.  1,329,56,49.259143,Vehicle
326,216,BI01,B & LE RR NO. 1,330,99.755934,99.755989,Vehicle
327,461,MX01,Montour Run NB Br #1,353,26,29.239434,Vehicle
328,217,MC07,MCCLARENS RUN NO.  7,331,20,50.363965,Vehicle
329,219,JA01,JACKS RUN NO. 1,333,770,593.454411,Vehicle
330,462,OB02,Coraopolis Bridge,353,1110,732.64839,Vehicle
331,220,WB04,WIBLE RUN NO. 4,335,64.427836,64.427863,Vehicle
332,221,WB06,WIBLE RUN NO. 6,336,24,21.412502,Vehicle
333,222,GI14,GIRTYS RUN NO. 14,337,22,25.086972,Vehicle
334,463,OB04,Fleming Park Bridge,354,807,689.0589,Vehicle
335,464,PA07,Painter's Run Br #7,358,31,62.729945,Vehicle
336,465,PA08,Painter's Run Br #8,359,34,56.906531,Vehicle
337,466,PA09,Painter's Run Br #9,360,42,50.553721,Vehicle
338,467,PB02,Plum Creek South Br. #2,416,12,27.584855,Vehicle
339,468,PF01,Piney Fork Br #1,364,30,31.835694,Vehicle
340,469,PG03,Pangburn Hollow Br #3,365,24,24.342218,Vehicle
341,470,PG04,Pangburn Hollow Br #4,366,14,41.544275,Vehicle
342,471,PG05,Pangburn Hollow Br #5,366,19,49.215888,Vehicle
343,472,PG09,Pangburn Hollow Br No 9,93,24,63.475507,Vehicle
344,473,PG10,Pangburn Hollow Br #10,366,4,59.288439,Vehicle
345,474,PG14,Pangburn Hollow Br #14,367,14,18.229216,Vehicle
346,475,PH02,Pine Hollow Br #2,368,4,18.365277,Vehicle
347,476,PH04,Pine Hollow Br #4,369,4,22.034171,Vehicle
348,477,PI02,Pine Creek Br #2,370,61,57.990675,Vehicle
349,478,PH03,Pine Hollow Br #3,370,6,33.347741,Vehicle
350,479,PI08,Pine Creek Br #8,372,40,38.500592,Vehicle
351,480,PI09,Pine Creek Br #9,373,55,46.736856,Vehicle
352,481,PI11,Pine Creek Br #11,374,58,75.386595,Vehicle
353,482,PI35,Pine Creek Br #35,376,61,55.890731,Vehicle
354,483,PI36,Pine Creek Br #36,376,4,52.244501,Vehicle
355,484,PI37,Pine Creek Br #37,377,24,30.534102,Vehicle
356,485,PI41,Pine Creek Br #41,378,43,45.81083,Vehicle
357,486,PJ03,Pierson's Run Br #3,379,6,9.551762,Vehicle
358,487,PJ04,Pierson's Run Br #4,380,6,18.879039,Vehicle
359,488,PJ05,Pierson's Run Br#5,381,5,55.36539,Vehicle
360,489,PJ07,Pierson's Run Br#7,383,4,19.65733,Vehicle
361,490,PJ08,Pierson's Run Br #8,384,5,41.990962,Vehicle
362,491,PK03,Parks Run Br #3,384,4,32.214519,Vehicle
363,492,PL15,Little Pine Creek Br #15,385,5,31.497903,Vehicle
364,493,PM06,Plum Creek Br #6,385,20,26.589081,Vehicle
365,494,PN03,Pine Creek North Branch #3,385,48,73.982763,Vehicle
366,495,PN06,Pine Creek North Branch Br #6,386,35,39.38772,Vehicle
367,496,PN09,Pine Creek North Branch Br #9,386,24,41.840732,Vehicle
368,497,PN10,Pine Creek N Br #10,188,3,13.358575,Vehicle
369,498,PR05,Pine Run Br #5,193,6,21.700602,Vehicle
370,499,PS05,Pine Creek South Branch Br #5,387,30,31.574695,Vehicle
371,500,PS10,Pine Creek South Branch Br #1,388,37,26.325727,Vehicle
372,501,PU07,Plum Creek Bridge No. 7,429,7,26.783076,Vehicle
373,502,PU09,Pierson Run Road #9,414,6,12.053286,Vehicle
374,503,PY02,Piney Fork North Branch Br #2,389,20,37.651484,Vehicle
375,504,MR06,McRobert's Run Br #6,390,10,25.628827,Vehicle
