Council/Group Name,Financial Item,FY Ending,Value ($000)
Auckland (Group),9004_Cash & financial investments/monetary assets,2013,$392495
Auckland (Group),9004_Cash & financial investments/monetary assets,2014,$410918
Auckland (Group),9004_Cash & financial investments/monetary assets,2015,$397460
Auckland (Group),9004_Cash & financial investments/monetary assets,2016,$393735
Auckland (Group),9004_Cash & financial investments/monetary assets,2017,$469700
Auckland (Group),9004_Cash & financial investments/monetary assets,2018,$480224
Auckland (Group),9004_Cash & financial investments/monetary assets,2019,$497517
Auckland (Group),9004_Cash & financial investments/monetary assets,2020,$643281
Auckland (Group),9004_Cash & financial investments/monetary assets,2021,$521757
Auckland (Group),9004_Cash & financial investments/monetary assets,2022,$536490
Auckland (Group),9005_Total assets (H),2013,$37767041
Auckland (Group),9005_Total assets (H),2014,$39426673
Auckland (Group),9005_Total assets (H),2015,$41708099
Auckland (Group),9005_Total assets (H),2016,$43573502
Auckland (Group),9005_Total assets (H),2017,$46410165
Auckland (Group),9005_Total assets (H),2018,$48459072
Auckland (Group),9005_Total assets (H),2019,$51147256
Auckland (Group),9005_Total assets (H),2020,$53818360
Auckland (Group),9005_Total assets (H),2021,$56379945
Auckland (Group),9005_Total assets (H),2022,$58288354
Auckland (Group),9006_Borrowing (total debt),2013,$5707729
Auckland (Group),9006_Borrowing (total debt),2014,$6692259
Auckland (Group),9006_Borrowing (total debt),2015,$7488723
Auckland (Group),9006_Borrowing (total debt),2016,$7987661
Auckland (Group),9006_Borrowing (total debt),2017,$8839775
Auckland (Group),9006_Borrowing (total debt),2018,$9601660
Auckland (Group),9006_Borrowing (total debt),2019,$10357927
Auckland (Group),9006_Borrowing (total debt),2020,$11504399
Auckland (Group),9006_Borrowing (total debt),2021,$12032789
Auckland (Group),9006_Borrowing (total debt),2022,$12521847
Auckland (Group),9007_Other liabilities,2013,$2396908
Auckland (Group),9007_Other liabilities,2014,$2355467
Auckland (Group),9007_Other liabilities,2015,$2514458
Auckland (Group),9007_Other liabilities,2016,$2583109
Auckland (Group),9007_Other liabilities,2017,$2795245
Auckland (Group),9007_Other liabilities,2018,$2798575
Auckland (Group),9007_Other liabilities,2019,$2969483
Auckland (Group),9007_Other liabilities,2020,$3169934
Auckland (Group),9007_Other liabilities,2021,$3261438
Auckland (Group),9007_Other liabilities,2022,$3283865
Auckland (Group),9008_Total liabilities (I),2013,$8104637
Auckland (Group),9008_Total liabilities (I),2014,$9047726
Auckland (Group),9008_Total liabilities (I),2015,$10003181
Auckland (Group),9008_Total liabilities (I),2016,$10570770
Auckland (Group),9008_Total liabilities (I),2017,$11635020
Auckland (Group),9008_Total liabilities (I),2018,$12400235
Auckland (Group),9008_Total liabilities (I),2019,$13327410
Auckland (Group),9008_Total liabilities (I),2020,$14674333
Auckland (Group),9008_Total liabilities (I),2021,$15294227
Auckland (Group),9008_Total liabilities (I),2022,$15805712
Auckland (Group),9009_Public equity (H-I),2013,$29662404
Auckland (Group),9009_Public equity (H-I),2014,$30378947
Auckland (Group),9009_Public equity (H-I),2015,$31704918
Auckland (Group),9009_Public equity (H-I),2016,$33002732
Auckland (Group),9009_Public equity (H-I),2017,$34775145
Auckland (Group),9009_Public equity (H-I),2018,$36058837
Auckland (Group),9009_Public equity (H-I),2019,$37819846
Auckland (Group),9009_Public equity (H-I),2020,$39144027
Auckland (Group),9009_Public equity (H-I),2021,$41085718
Auckland (Group),9009_Public equity (H-I),2022,$42482642
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2013,$2040401
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2014,$2113048
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2015,$2240320
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2016,$2305536
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2017,$2355341
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2018,$2409467
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2019,$2448336
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2020,$2484060
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2021,$2538272
New Zealand,"9001_Investment in CCOs, CCTOs & other entities",2022,$2585395
New Zealand,9002_Other assets,2013,$3142204
New Zealand,9002_Other assets,2014,$3199470
New Zealand,9002_Other assets,2015,$3251037
New Zealand,9002_Other assets,2016,$3344002
New Zealand,9002_Other assets,2017,$3386378
New Zealand,9002_Other assets,2018,$3467562
New Zealand,9002_Other assets,2019,$3520493
New Zealand,9002_Other assets,2020,$3592261
New Zealand,9002_Other assets,2021,$3670507
New Zealand,9002_Other assets,2022,$3755719
New Zealand,9003_Total fixed assets,2013,$103544721
New Zealand,9003_Total fixed assets,2014,$108345345
New Zealand,9003_Total fixed assets,2015,$112893383
New Zealand,9003_Total fixed assets,2016,$116479059
New Zealand,9003_Total fixed assets,2017,$122530642
New Zealand,9003_Total fixed assets,2018,$126893521
New Zealand,9003_Total fixed assets,2019,$131519836
New Zealand,9003_Total fixed assets,2020,$137681568
New Zealand,9003_Total fixed assets,2021,$143052027
New Zealand,9003_Total fixed assets,2022,$147216110
New Zealand,9004_Cash & financial investments/monetary assets,2013,$1957854
New Zealand,9004_Cash & financial investments/monetary assets,2014,$1952034
New Zealand,9004_Cash & financial investments/monetary assets,2015,$1932047
New Zealand,9004_Cash & financial investments/monetary assets,2016,$1962241
New Zealand,9004_Cash & financial investments/monetary assets,2017,$2114423
New Zealand,9004_Cash & financial investments/monetary assets,2018,$2221383
New Zealand,9004_Cash & financial investments/monetary assets,2019,$2373053
New Zealand,9004_Cash & financial investments/monetary assets,2020,$2660202
New Zealand,9004_Cash & financial investments/monetary assets,2021,$2688734
New Zealand,9004_Cash & financial investments/monetary assets,2022,$2832678
New Zealand,9005_Total assets (H),2013,$110685175
New Zealand,9005_Total assets (H),2014,$115609899
New Zealand,9005_Total assets (H),2015,$120316787
New Zealand,9005_Total assets (H),2016,$124090837
New Zealand,9005_Total assets (H),2017,$130386782
New Zealand,9005_Total assets (H),2018,$134991933
New Zealand,9005_Total assets (H),2019,$139861721
New Zealand,9005_Total assets (H),2020,$146418090
New Zealand,9005_Total assets (H),2021,$151949538
New Zealand,9005_Total assets (H),2022,$156389900
New Zealand,9006_Borrowing (total debt),2013,$10769961
New Zealand,9006_Borrowing (total debt),2014,$12122303
New Zealand,9006_Borrowing (total debt),2015,$13240724
New Zealand,9006_Borrowing (total debt),2016,$13918730
New Zealand,9006_Borrowing (total debt),2017,$14911326
New Zealand,9006_Borrowing (total debt),2018,$15740741
New Zealand,9006_Borrowing (total debt),2019,$16482832
New Zealand,9006_Borrowing (total debt),2020,$17528346
New Zealand,9006_Borrowing (total debt),2021,$17955316
New Zealand,9006_Borrowing (total debt),2022,$18449485
New Zealand,9007_Other liabilities,2013,$3745122
New Zealand,9007_Other liabilities,2014,$3704004
New Zealand,9007_Other liabilities,2015,$3866313
New Zealand,9007_Other liabilities,2016,$3953934
New Zealand,9007_Other liabilities,2017,$4184432
New Zealand,9007_Other liabilities,2018,$4204556
New Zealand,9007_Other liabilities,2019,$4393454
New Zealand,9007_Other liabilities,2020,$4609745
New Zealand,9007_Other liabilities,2021,$4720755
New Zealand,9007_Other liabilities,2022,$4767807
New Zealand,9008_Total liabilities (I),2013,$14515084
New Zealand,9008_Total liabilities (I),2014,$15826307
New Zealand,9008_Total liabilities (I),2015,$17107034
New Zealand,9008_Total liabilities (I),2016,$17872660
New Zealand,9008_Total liabilities (I),2017,$19095757
New Zealand,9008_Total liabilities (I),2018,$19945297
New Zealand,9008_Total liabilities (I),2019,$20876286
New Zealand,9008_Total liabilities (I),2020,$22138095
New Zealand,9008_Total liabilities (I),2021,$22676069
New Zealand,9008_Total liabilities (I),2022,$23217291
New Zealand,9009_Public equity (H-I),2013,$96170091
New Zealand,9009_Public equity (H-I),2014,$99783595
New Zealand,9009_Public equity (H-I),2015,$103209753
New Zealand,9009_Public equity (H-I),2016,$106218179
New Zealand,9009_Public equity (H-I),2017,$111291026
New Zealand,9009_Public equity (H-I),2018,$115046639
New Zealand,9009_Public equity (H-I),2019,$118985439
New Zealand,9009_Public equity (H-I),2020,$124279998
