"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U9010_29 - ORCHARD LANE2: ORCHARD LANE1 TO END -  ARDS","ARDS","Surface Type",57,57,349566,375403
"7065A0022_15 - COMBER RD 41: BALLYMINISTRAGH RD C367 TO QUARRY RD -  ARDS","ARDS","Surface Type",1921,1921,348748,363291
"7065B0173_01 - RUBANE RD1: COOK'S BRAE A20 TO GRANSHA RD U140 -  ARDS","ARDS","Surface Type",1399,1399,361383,361506
"7065U9008_23 - GLENMOUNT DR1: GLENMOUNT DR TO END -  ARDS","ARDS","Surface Type",36,36,348324,374979
"7065U9014_46 - EDENVALE CRES CDS: EDENVALE CRES TO END -  ARDS","ARDS","Surface Type",4,4,351056,374978
"7065C0255_06 - CARROWDORE RD1: MOUNTSTEWART RD C256 TO CARDY RD U119 -  ARDS","ARDS","Surface Type",2597,2597,357561,368918
"7065U9001_29 - SCRABO RD1: CIRCULAR RD TO SCRABO RD U243 -  ARDS","ARDS","?",306,306,0,0
"7065A0023_02 - BELFAST RD 41: TULLYGARVIN RD U223 TO BALLYCREELY RD U217 -  ARDS","ARDS","Surface Type",192,192,342671,364487
"7065U9014_85 - CRONSTOWN COTTAGE PK1: START SW TO END NE -  ARDS","ARDS","Surface Type",238,238,350662,375096
"7065A0022_22 - COMBER RD 41: BALLYRAINEY RD C266 TO BOUNDARY SIGN -  ARDS","ARDS","Surface Type",99,99,344274,371198
"7065A0021_23 - GEORGES ST 41: GREENWELL ST TO GEORGES SRTEET RBT -  ARDS","ARDS","Surface Type",52,52,349508,374014
"7065A0002_36 - HIGH ST PORTAFERRY1: CHURCH ST A20 TO BALLYPHILLIP RD U316 -  ARDS","ARDS","Surface Type",324,324,359715,351089
"7065U9023_01 - OLD FORGE LANE1: MOVILLA ROAD TO END -  ARDS","ARDS","Surface Type",2,2,351320,374401
"7065U9014_48 - LAWNBROOK DRIVE1: STRATHEDEN HTS TO CRONSTOWN COTTAGE PK -  ARDS","ARDS","Surface Type",293,293,350724,375105
"7065C0256_04 - MOUNTSTEWART RD1: MANSE RD C255 TO BALLYCASTLE RD U124 -  ARDS","ARDS","Surface Type",2268,2268,355362,370995
