"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U0256_01 - PALATINE ROW1: MAIN ST A2 TO SCHOOL RD -  DOWN","DOWN","Surface Type",99,99,353600,336357
"7065U0658_03 - THE OLDE MILL1: C0278 03 KILMORE RD TO U0658 04 THE OLDE MILL -  DOWN","DOWN","Surface Type",4,4,344789,350887
"7065A0025_22 - DUBLIN RD2: A0025_24 DUBLIN RD RBT TO MONEYSCALP RD C325 -  DOWN","DOWN","Surface Type",835,835,333030,335615
"7065U6101_06 - THE GROVE1: U6101 01 THE DRUMLINS TO END -  DOWN","DOWN","Surface Type",65,65,335743,352181
"7065A0025_23 - DUBLIN RD2: MONEYSCALP RD C325 TO HILLTOWN RD B8 -  DOWN","DOWN","Surface Type",2990,2990,328143,333225
"7065B0002_05 - DOWNPATRICK RD5: ROSEMOUNT RD U126 TO DRUMANESS RD A24 -  DOWN","DOWN","Surface Type",552,552,338550,351398
"7065C0370_01 - BALLYLONE RD1: CROSSGAR RD B7 TO PEARTREE RD U359 -  DOWN","DOWN","Surface Type",1510,1510,338617,353753
"7065U0005_01 - BURRENBRIDGE RD1: DUBLIN RD A25 TO HILLTOWN RD B180 -  DOWN","DOWN","Surface Type",259,259,333109,335387
"7065B0001_03 - ARDGLASS RD2: CREWE RD C283 TO BALLEE RD C285 RHS -  DOWN","DOWN","Surface Type",2966,2966,352694,340931
"7065C0277_03 - SCADDY RD1: KILLYLEAGH RD B7 TO TURMENNAN RD U353 -  DOWN","DOWN","Surface Type",790,790,348531,351809
"7065U6003_11 - DOWN BUSINESS PARK: FROM A0007_01 TO T JCN AT END -  DOWN","DOWN","Surface Type",362,362,347136,346246
"7065B0007_25 - RATHFRILAND RD5: C0293 DUNDRUM RD TO U4165 01 DRIN RD -  DOWN","DOWN","Surface Type",1193,1193,328681,348394
"7065U6105_28 - GLENLOUGH PK1: LOUGHSIDE DR TO TUDOR OAKS -  DOWN","DOWN","Surface Type",65,65,337135,352175
"7065A0025_12 - MARKET ST3: IRISH ST TO LEISURE CENTRE EXIT ROAD -  DOWN","DOWN","Surface Type",100,100,348602,344537
"7065U6205_03 - MOURNE GREEN1: DUNDRUM RD A2 TO END -  DOWN","DOWN","Surface Type",120,120,337754,332102
"7065U6201_29 - TULLYBRANNIGAN AV1: U6201 27 TULLYBRANNIGAN WAY TO END -  DOWN","DOWN","Surface Type",30,30,336857,331344
"7065A0024_07 - DRUMANESS RD2: DRUMANESS RD C388 TO DOWNPATRICK RD B2 -  DOWN","DOWN","Surface Type",1574,1574,337763,350682
"7065A0021_05 - BALLYGOWAN RD4: BELFAST RD A7 TO BALLYCLOUGHIN RD C214 -  DOWN","DOWN","Surface Type",1633,1633,341567,361302
"7065U0637_15 - MC MINNS LN1: MAIN ST A2 TO END -  DOWN","DOWN","Surface Type",5,5,340752,336783
