Permit No.,Division,Event Date,Address,From,To
DPW1303569,1,8/10/2013,1 CALIFORNIA AVE,DAVIS AVE,ORCHLEE ST
DPW1305081,3,8/10/2013,1178 WINDERMERE DR,@ Raymond st,
DPW1403764,4,8/10/2014,60 S 18TH ST,SOUTH 17TH STREET,SOUTH 18TH STREET
DPW1403876,2,8/10/2014,6115 CALLERY ST,N SHERIDAN,HEBERTON
DPW1402778,2,8/10/2014,7241 RACE ST,N HOMEWOOD AVE,IDLEWILD ST
DPW1305031,1,8/11/2013,0 SHAWANO ST,EAST ST,MIDDLE ST
DPW1305090,3,8/11/2013,1347 SQUIRREL HILL AVE,Plainfield ave,maynard
DPW1305098,2,8/11/2013,7356 KELLY ST,collier st,sterrett st
DPW1301959,4,8/11/2013,60 S 18TH ST,S 17TH ST,S 18TH ST
DPW1404140,1,8/13/2014,1608 CHATEAU ST,MANHATTAN ST,CHATEAU ST
DPW1305051,3,8/14/2013,179 ROBINSON ST,DECRE,ROBINSON
DPW1305654,2,8/16/2013,1657 DUFFIELD ST,bryant,martha
DPW1404560,2,8/16/2014,0 49TH ST,PLUM WAY,HATFIELD ST
DPW1404561,2,8/16/2014,4840 BLACKBERRY WAY,48TH ST,49TH ST
DPW1402028,2,8/16/2014,5128 DEARBORN ST,N. EVALINE,WINNEBIDDLE
DPW1404554,2,8/16/2014,330 PERCY ST,BESSEMER,HUGO WAY
DPW1404552,2,8/16/2014,405 NATRONA WAY,52ND ST,MCANDLASS AVE
DPW1404460,2,8/16/2014,4814 BLACKBERRY WAY,48TH ST,49TH ST
DPW1404559,2,8/16/2014,5325 CARNEGIE ST,MACANDLASS ST,53RD ST
DPW1404556,2,8/16/2014,4312 PLEASANT WAY,41ST/42ND,43RD/44TH
DPW1404555,2,8/16/2014,0 HUGO WAY,PERCY ST,44TH ST
DPW1404637,1,8/16/2014,1926 BADER ST,DAMAS,ASYLUM
DPW1303779,2,8/17/2013,1048 N WHEELER ST,MOHLER ST,FERNDALE ST
DPW1304802,2,8/17/2013,415 DARGAN ST,mott way,minerva
DPW1404765,2,8/17/2014,7906 FRANKSTOWN AVE,bennett st,frankstown ave
DPW1404161,2,8/17/2014,5210 WESTMINSTER PL,AMBERSON,ST JAMES
DPW1404624,1,8/17/2014,0 ELOISE ST,RESACA PL,FILSON ST
DPW1305361,1,8/18/2013,1240 RESACA PL,ELOISE,N TAYLOR
DPW1305210,3,8/18/2013,5411 NORTHUMBERLAND ST,FORBES,SQUIRREL HILL
DPW1304666,,8/18/2013,5196 COLUMBO ST,COLUMBO STREET,GRETNA WAY
DPW1304598,2,8/18/2013,7906 FRANKSTOWN AVE,FRANKSTOWN AVE,BENNETT ST
DPW1305787,3,8/23/2013,1901 5TH AVE,Forbes ave,Watson st
DPW1305843,4,8/23/2013,237 ROCHELLE ST,KNOX AVE,GRIMES ST
DPW1403796,3,8/23/2014,301 S CRAIG ST,FORNES AVE,WINTHROP ST
DPW1404928,1,8/23/2014,0 N FRANKLIN ST,LIVERPOOL,DECATUR
DPW1404629,4,8/23/2014,139 ODETTE ST,IVYGLENN ST,HORNING ST
DPW1403893,1,8/23/2014,1415 SEDGWICK ST,PENNSYLVANIA AVE,LIVERPOOL ST
DPW1405116,2,8/23/2014,4314 MAIN ST,MAIN,CANOE WAY
DPW1405016,2,8/23/2014,335 HALE ST,BENNETT ST,KELLY ST
DPW1404946,2,8/23/2014,0 N SHERIDAN AVE,N SHERIDAN AV,COLLINS AVE
DPW1404947,2,8/23/2014,208 ROLFE ST,WILKINSBURG AVE,DORNBUSH AVE
DPW1304334,4,8/24/2013,1641 BELTRAM AVE,BELTRAM,BARBADOS
DPW1305623,1,8/24/2013,1913 LOOKOUT ST,Alroy Way,Eggers Street
DPW1305923,2,8/24/2013,335 HALE ST,BENNETT ST,KELLY ST
DPW1305738,3,8/24/2013,100 N BELLEFIELD AVE,5th ave,Bayard
DPW1305009,2,8/24/2013,4314 MAIN ST,CANOE,MAIN
DPW1404562,3,8/24/2014,5411 NORTHUMBERLAND ST,FORBES,SQUIRREL HILL
DPW1402912,3,8/24/2014,5324 POCUSSET ST,POCUSSETT RD,PHILLIPS AVE
DPW1404437,3,8/24/2014,906 MILTON ST,HENRIETTA,OVERTON
DPW1404688,3,8/24/2014,2701 CENTRE AVE,CENTRE AVE,ELBA ST
DPW1303693,3,8/25/2013,5324 POCUSSET ST,GREENFIELD RD,PHILLIPS AVE
DPW1303422,3,8/25/2013,906 MILTON ST,HENRIETTA,OVERTON
DPW1304726,2,8/28/2013,250 S PACIFIC AVE,FRIENDSHIP AVE,CORAL ST
DPW1306156,5,8/30/2013,3105 ALLENDALE ST,ALLENDALE PL,UNIVERSAL ST
DPW1404632,2,8/30/2014,5173 DEARBORN ST,N PACIFIC/DEARBORN,BROAD ST/N EVALINE
DPW1404958,1,8/30/2014,0 WARLO ST,SEDGEWICK ST,FULTON ST
DPW1302587,2,8/31/2013,5327 MCCANDLESS AVE,54TH ST,53RD ST
DPW1305045,1,8/31/2013,1433 DICKSON ST,PLOUGH ST,MULLINS ST
DPW1306082,1,8/31/2013,2334 MANNHEIM ST,ATMORE,MC COOK
DPW1305841,1,8/31/2013,0 FULTON ST,COLUMBUS ST,ADAMS ST
DPW1306115,2,8/31/2013,7320 HERMITAGE ST,SERRETT ST,COLLIER
DPW1306140,2,8/31/2013,7344 KELLY ST,BRUSHTON AVE,DURANGO WAY
DPW1404976,3,8/31/2014,315 ROBERTS ST,CENTRE AVE,REED ST
