OBJECTID_1,DISTRICT,WARD,MUNICODE,YRAPPROV,MWD_NOPAD,PSEUDONUM,OPA_MUNI,OBJECTID,LABEL,Shape_Leng
42,3,0,186,2004,18603,0574,935,0, ,0
43,3,1,166,1993,16613,0316,927,0, ,0
44,1,1,211,1990,21111,1193,855,0, ,0
45,0,1,112,0,11210,0070,807,0, ,0
46,0,1,131,1990,13110,0170,907,0, ,0
47,1,3,211,1990,21131,1196,855,0, ,0
48,0,2,211,1990,21120,1195,855,0, ,0
49,10,0,150,1992,150010,0252,914,0, ,0
50,8,0,150,1992,15008,0250,914,0, ,0
51,1,7,166,1993,16671,0332,927,0, ,0
52,3,3,166,1993,16633,0322,927,0, ,0
53,1,0,161,1990,16101,0302,921,0, ,0
54,1,5,166,1993,16651,0326,927,0, ,0
55,2,0,161,1990,16102,0303,921,0, ,0
56,1,0,200,0,20001,1102,869,0, ,0
57,1,0,201,0,20101,1103,882,0, ,0
58,6,0,150,1992,15006,0248,914,0, ,0
59,2,3,166,1993,16632,0321,927,0, ,0
60,0,2,131,1990,13120,0171,907,0, ,0
61,1,0,162,1991,16201,0304,836,0, ,0
62,13,0,150,1992,150013,0255,914,0, ,0
63,7,0,150,1992,15007,0249,914,0, ,0
64,3,6,166,1993,16663,0331,927,0, ,0
65,1,3,166,1993,16631,0320,927,0, ,0
66,12,0,150,1992,150012,0254,914,0, ,0
67,2,7,166,1993,16672,0333,927,0, ,0
68,2,5,166,1993,16652,0327,927,0, ,0
69,0,2,127,0,12720,0146,906,0, ,0
70,2,0,135,1977,13502,0182,824,0, ,0
71,2,4,166,1993,16642,0324,927,0, ,0
72,3,5,166,1993,16653,0328,927,0, ,0
73,3,4,166,1993,16643,0325,927,0, ,0
74,1,0,150,1992,15001,0243,914,0, ,0
75,1,4,166,1993,16641,0323,927,0, ,0
76,0,1,127,0,12710,0145,906,0, ,0
77,4,0,150,1992,15004,0246,914,0, ,0
78,5,0,150,1992,15005,0247,914,0, ,0
79,3,0,151,1990,15103,0258,915,0, ,0
80,4,0,172,1992,17204,0408,925,0, ,0
81,2,6,166,1993,16662,0330,927,0, ,0
82,1,0,135,1977,13501,0181,824,0, ,0
83,1,0,208,1992,20801,1170,948,0, ,0
84,1,0,151,1990,15101,0256,915,0, ,0
85,11,0,172,1992,172011,0415,925,0, ,0
86,2,6,202,1990,20262,1130,944,0, ,0
87,5,6,202,1990,20265,1133,944,0, ,0
88,3,4,196,1994,19643,1059,940,0, ,0
89,3,9,196,1994,19693,1078,940,0, ,0
90,1,9,196,1994,19691,1076,940,0, ,0
91,1,6,202,1990,20261,1129,944,0, ,0
92,4,6,202,1990,20264,1132,944,0, ,0
93,3,6,202,1990,20263,1131,944,0, ,0
