Facility,Division,Total Acreage,Maintainable Acreage,Shelter,Rec Center,Senior Center,Pool,Spray Pool,Play Area,Tennis Court with Lights,Tennis Court without NO Lights,Basketball Full Court with Lights,Basketball Full Court without Lights,Basketball half Court with Lights,Basketball Half Court without Lights,Basketball Standards,Multi-Purpose Court,Funnel Ball,Baseball Field with Lights,Baseball Field without lights,Volleball Court,Boccie Court,Hockey Court,Horseshoe,Drinking Fount,Neighborhood,Census Tract,Council Dist,CD Area,Bleachers,Benches,Tables,Grill,Decorative Foutain,Flag Pole,Grandstand,Control Link for Basketball Courts,Control Link for Tennis Court,Control Linkl for Hockey Court,Dek Hockey Court,Dog Park,Spray Park,Ownership of Facility,Buildings
Duncan Park,Northeast,6.75,0.7,,,,,1,1,,,,,,,,,,,,,,1,,,Upper Lawrenceville,1011,7,Yes,,6,,,,,,No,No,No,,,,,
Cliffside Park,Schenley,3.89,0.5,,,,,,1,,,1,,,,2,,,,,,,,,1,Crawford Roberts,305,6,Yes,,4,4,2,,,,No,No,No,,,,,
East Carnegie Park,Western,0.47,0.4,,,,,,1,,,,1,,,2,,,,,,,,,1,East Carnegie,2805,2,Yes,,4,,,,1,,No,No,No,,,,,
Northshore Riverfront Park,State,10.11,12.2,,,,,,,,,,,,,,,,,,,,,,,North Shore,2205,6,No,,57,,,1,9,,No,No,No,,,,,
Davis Park,Eastern,1.5,1.2,,,,,,1,,1,,1,,2,4,,,,,,,1,,1,Squirrel Hill South,1413,5,No,,20,3,,,,,No,No,No,,,,,
Hays Park,Southern,1.26,0.9,1,,,,,1,,,,,,1,1,,,,,,,,,1,Hays,3101,5,Yes,,3,3,1,,,,No,No,No,,,,,
Dallas Park,Eastern,0.43,0.3,,,,,,1,,,,1,,,2,,,,,,,,,1,Homewood West,1207,9,Yes,,4,,,,,,No,No,No,,,,,
Cross & Strauss Park,Northern,0.3,0.2,,,,,,1,,,,,,1,1,,,,,,,,,,Perry South,2614,6,Yes,,4,,,,,,No,No,No,,,,,
East Liberty Park,Northeast,,,,,,,,,,,,,,,,,,,1,,,,,,East Liberty,1115,9,Yes,1,2,,,,,,No,No,No,,,,,
Faison School,Eastern,2.33,0.1,,,,,,1,,,,1,,,2,,,,,,,,,,East Hills,1306,9,Yes,,4,,,,,,No,No,No,,,,,
Eleanor Street Park,Southern,0.62,0.7,,,,,,1,,,,,,1,1,,,,,,,,,,Southside Slopes,1608,3,Yes,,4,,,,,,No,No,No,,,,,
Shalane’s Play Yard Park,Schenley,0.08,0.04,,,,,,1,,,,,,,,,,,,,,,,,West Oakland,402,8,Yes,,3,,,,,,No,No,No,,,,,
Westinghouse Park,Eastern,10.83,11.4,,1,,,,1,,,,1,,,2,,,,,,,,,1,Point Breeze North,1405,9,No,,16,1,,,,,No,No,No,,,,,1 Community Bldg
McGonigle Park,Western,8.25,2.4,,,,,,1,,,,1,,1,3,,,,1,,,,,1,Sheraden,2018,2,No,3,10,4,,,,,No,No,No,,,,,1 Concession Stand
Heths Park,Northeast,3.4,1.96,,,,,1,1,,1,,,,,,,,,3,,3,1,,1,Morningside,1102,7,No,4,11,,,,,,No,No,No,,,,,1 Concession Stand
Banksville School Park,Western,0.41,1.4,,,,,,1,,,,,,,,,,1,,,,,,1,Banksville,2023,2,No,3,6,1,,,,,No,No,No,,,,,1 Concession Stand
Dinan Park,Northeast,13.93,2.9,,,,,,1,,1,,,,1,1,,,,2,,,1,,2,Stanton Heights,1018,7,No,4,6,,,,,,No,No,No,,,,,1 Concession Stand
Bloomfield Park,Northeast,1,4.5,,1,,1,,1,,,,1,,,2,,,1,,,2,2,,1,Bloomfield,802,8,Yes,6,7,,,,,1,No,No,No,,,,,1 Concession Stand
Sullivan Park,Northeast,4.43,3.7,,,,,,,,,,,,,,,,1,,,,,,,Lower Lawrenceville,603,7,Yes,5,2,,,,,,No,No,No,,,,,1 Concession Stand
Fifty-Seventh Street Park,Northeast,2.08,1.5,,,,,,1,,,,1,,,2,,,,1,,,,,,Upper Lawrenceville,1011,7,Yes,1,7,,,,,,No,No,No,,,,,1 Concession Stand
Leslie Park,Northeast,6.03,5.7,,,,1,1,1,,,1,,,,2,,,2,,,,,,1,Central Lawrenceville,902,7,Yes,5,16,2,,,,1,Yes,No,No,,,,,1 Concession Stand
Fort Pitt Park,Northeast,7.36,4.6,,,,,,1,1,,1,,,,2,,,2,,,,,,,Garfield,1017,9,Yes,4,2,,,,,1,Yes,Yes,No,,,,,1 Concession Stand 1 Announcer Booth
Homewood Park,Eastern,2.69,2.5,,,,1,,,,,,,,,,,,2,,,,,,1,Homewood South,1303,9,Yes,,1,,,,,1,No,No,No,,,,,1 Concession Stand 1 Bathroom Bldg
Joe Natoli Park,Northeast,5.41,2.1,,1,1,,1,1,,,1,,,,2,,,2,,,,,,1,Morningside,1014,7,No,7,15,2,,,1,,No,No,No,,,,,1 Concession Stand 1 Announcer Booth 1 Storage Bldg.
Young Park,Northern,3.08,,,,,,,,,,,,,,,,,,1,,,,,1,Marshall-Shadeland,2715,1,Yes,1,3,,,,,,No,No,No,,,,,1 Concession Stand 1 Bathroom Bldg
Cowley Park,Northern,4.27,2.5,,1,1,1,,1,,,2,,,,4,,,2,,,,,,1,Troy Hill,2406,1,Yes,4,8,,,,,,Yes,No,No,,,,,1 Concession Stand 1 Bathroom Bldg
Garvin Field,Northern,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,1,,2,,,,,,,No,No,No,,,,,1 Concession Stand 1 Storage Bldg
Chadwick Park,Eastern,11.36,6.4,,1,1,,,1,,,1,,,,2,,,,1,,,,,,Lincoln-Lemington-Belmar,1202,9,Yes,2,13,,,,,,No,No,No,,,,,1 Concession Stand 1 Utility Building 1 POD
Ammon Park,Schenley,15.83,3.6,,1,,1,1,1,1,,1,1,,,4,,,2,,1,,,,,Bedford Dwellings,509,6,Yes,3,8,,,,,,No,No,No,,,,,1 Concession Stand 1 Bathroom Bldg
Marmaduke Park,Northern,1.63,2.3,,,,,1,1,,1,,,,,,,,,1,,,1,,1,Brighton Heights,2701,1,No,2,10,1,,,,,No,No,No,,,,,1 Concession Stand 1 Bathroom Bldg
Spring Hill Park,Northern,30.15,3.3,,,,,,1,,,,1,,,2,,,1,,,,1,1,1,Spring Hill-City View,2620,1,Yes,3,8,,,,,,No,No,Yes,,,,,1 Concession Stand 1 Bathroom Bldg 1 Storage Bldg
Kennard Park,Schenley,13.43,6.5,,,,,,1,,1,4,,,,8,,,2,,,,,,4,Terrace Village,510,6,Yes,12,8,,,,,,Yes,No,No,,,,,1 Concession Stand 1 Bathroom Bldg 2 PODS 1 Utility Building
Volunteers Park,Southern,10.75,3.9,,,,,,,,,,,,,,,,2,,,,,,1,Carrick,2901,4,No,7,10,,,,,,No,No,No,,,,,1 Concession Stand 1 POD
Bud Hammer Park,Schenley,11.99,3.7,1,,,,,1,,,,1,,,2,,,,1,,,1,,1,Hazelwood,1501,5,Yes,3,15,,,,1,,No,No,No,,,,,1 Concession Stand 2 PODS
Vanucci Park,Western,6.17,6.6,,,,1,,1,,,,,,,,,,2,,,,,,1,Beechview,1916,4,No,6,12,4,,,,,No,No,No,,,,,1 Concession Stand 1 Bathroom Bldg 1 POD
Herschel Park,Western,20.41,5.9,,,,,,1,,,2,,,,4,,,2,,,,1,,3,Elliott,2020,2,No,4,16,4,,,,1,No,No,No,,,,,1 Concession Stand 1 Living Quarters 1 Storage Container
Westwood School,Western,12.75,3.4,,,,1,,1,,,,,,,,,,2,,,,,,1,Westwood,2811,2,No,4,22,1,,,,,No,No,No,,,,,1 Concession Stand 1 Utility Bldg
