Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CGA Total Claimants (2015),CGA Claimants Male 16-34 (2015),CGA Claimants Male 35-49 (2015),CGA Claimants Male 50-64 (2015),CGA Claimants Male 65+ (2015),CGA Claimants Female 16-34 (2015),CGA Claimants Female 35-49 (2015),CGA Claimants Female 50-59 (2015),CGA Claimants Female 60-64 (2015),CGA Claimants Female 65+ (2015)
95HH16,WHITEHEAD,CARRICKFERGUS,700,20,30,40,220,20,40,30,40,260
95HH17,WOODBURN,CARRICKFERGUS,650,20,20,40,210,20,50,40,40,210
95II01,BALLYHANWOOD,CASTLEREAGH,950,30,20,50,320,20,40,40,50,390
95II02,BEECHILL,CASTLEREAGH,1280,80,80,120,300,60,90,80,60,410
95II03,CAIRNSHILL,CASTLEREAGH,700,20,20,30,210,20,40,50,40,260
95II04,CARROWREAGH,CASTLEREAGH,1110,80,50,90,270,60,100,70,60,330
95II05,CARRYDUFF EAST,CASTLEREAGH,1050,40,40,70,280,30,50,60,60,420
95II06,CARRYDUFF WEST,CASTLEREAGH,760,30,30,30,230,30,30,50,50,280
95II07,CREGAGH,CASTLEREAGH,770,60,50,70,130,90,60,40,40,220
95II08,DOWNSHIRE,CASTLEREAGH,770,40,50,70,180,30,40,60,40,270
95II09,DUNDONALD,CASTLEREAGH,850,40,40,70,230,30,40,50,50,310
95II10,ENLER,CASTLEREAGH,880,50,50,80,170,80,70,70,40,270
95II11,GALWALLY,CASTLEREAGH,650,30,20,40,200,20,20,30,40,250
95II12,GILNAHIRK,CASTLEREAGH,690,10,10,30,220,10,30,30,40,310
95II13,GRAHAMS BRIDGE,CASTLEREAGH,1010,50,70,70,230,70,70,50,50,350
95II14,HILLFOOT,CASTLEREAGH,740,20,10,20,250,20,20,30,30,350
95II15,KNOCKBRACKEN,CASTLEREAGH,760,20,20,40,250,20,30,20,50,320
95II16,LISNASHARRAGH,CASTLEREAGH,680,40,40,40,170,30,50,40,30,250
95II17,LOWER BRANIEL,CASTLEREAGH,830,50,50,70,200,40,30,50,40,300
95II18,MINNOWBURN,CASTLEREAGH,900,60,60,70,190,70,60,50,40,300
95II19,MONEYREAGH,CASTLEREAGH,940,40,30,70,300,30,40,60,60,320
95II20,NEWTOWNBREDA,CASTLEREAGH,720,40,30,40,200,30,40,40,40,260
95II21,TULLYCARNET,CASTLEREAGH,830,80,70,70,140,90,70,70,30,210
95II22,UPPER BRANIEL,CASTLEREAGH,770,20,20,60,210,40,40,40,60,270
