Council,Date,Financial,Value ($000)
Bay of Plenty Region,2015,32 Fixed Asset Purchases,0
Bay of Plenty Region,2015,33 Renewals,0
Bay of Plenty Region,2015,34 Purchasing of Other Investments,329
Bay of Plenty Region,2015,35 Net Investing Cash Flows,6453
Bay of Plenty Region,2015,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2015,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2015,38 Net Financing Cash Flows,0
Bay of Plenty Region,2016,27 Operating receipts,102625
Bay of Plenty Region,2016,28 Operating Payments,84016
Bay of Plenty Region,2016,29 Net Operating Cash Flows,18609
Bay of Plenty Region,2016,30 Receipts from Investing Activities,12562
Bay of Plenty Region,2016,31 Purchase of Property Plant & Equipment,26811
Bay of Plenty Region,2016,32 Fixed Asset Purchases,0
Bay of Plenty Region,2016,33 Renewals,0
Bay of Plenty Region,2016,34 Purchasing of Other Investments,372
Bay of Plenty Region,2016,35 Net Investing Cash Flows,-14621
Bay of Plenty Region,2016,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2016,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2016,38 Net Financing Cash Flows,0
Bay of Plenty Region,2017,27 Operating receipts,101199
Bay of Plenty Region,2017,28 Operating Payments,94653
Bay of Plenty Region,2017,29 Net Operating Cash Flows,6546
Bay of Plenty Region,2017,30 Receipts from Investing Activities,1467
Bay of Plenty Region,2017,31 Purchase of Property Plant & Equipment,5869
Bay of Plenty Region,2017,32 Fixed Asset Purchases,0
Bay of Plenty Region,2017,33 Renewals,0
Bay of Plenty Region,2017,34 Purchasing of Other Investments,311
Bay of Plenty Region,2017,35 Net Investing Cash Flows,-4713
Bay of Plenty Region,2017,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2017,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2017,38 Net Financing Cash Flows,0
Bay of Plenty Region,2018,27 Operating receipts,110341
Bay of Plenty Region,2018,28 Operating Payments,96861
Bay of Plenty Region,2018,29 Net Operating Cash Flows,13480
Bay of Plenty Region,2018,30 Receipts from Investing Activities,5351
Bay of Plenty Region,2018,31 Purchase of Property Plant & Equipment,14630
Bay of Plenty Region,2018,32 Fixed Asset Purchases,0
Bay of Plenty Region,2018,33 Renewals,0
Bay of Plenty Region,2018,34 Purchasing of Other Investments,355
Bay of Plenty Region,2018,35 Net Investing Cash Flows,-9634
Bay of Plenty Region,2018,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2018,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2018,38 Net Financing Cash Flows,0
Bay of Plenty Region,2019,27 Operating receipts,116916
Bay of Plenty Region,2019,28 Operating Payments,100212
Bay of Plenty Region,2019,29 Net Operating Cash Flows,16704
Bay of Plenty Region,2019,30 Receipts from Investing Activities,5254
Bay of Plenty Region,2019,31 Purchase of Property Plant & Equipment,14750
Bay of Plenty Region,2019,32 Fixed Asset Purchases,0
Bay of Plenty Region,2019,33 Renewals,0
Bay of Plenty Region,2019,34 Purchasing of Other Investments,396
Bay of Plenty Region,2019,35 Net Investing Cash Flows,-9892
Bay of Plenty Region,2019,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2019,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2019,38 Net Financing Cash Flows,0
Hawke's Bay Region,2010,27 Operating receipts,30609
Hawke's Bay Region,2010,28 Operating Payments,30608
Hawke's Bay Region,2010,29 Net Operating Cash Flows,1
Hawke's Bay Region,2010,30 Receipts from Investing Activities,842
Hawke's Bay Region,2010,31 Purchase of Property Plant & Equipment,4645
Hawke's Bay Region,2010,32 Fixed Asset Purchases,0
Hawke's Bay Region,2010,33 Renewals,0
Hawke's Bay Region,2010,34 Purchasing of Other Investments,10494
Hawke's Bay Region,2010,35 Net Investing Cash Flows,-14297
Hawke's Bay Region,2010,36 Cash Receipts from Financing Activities,6613
Hawke's Bay Region,2010,37 Cash Outgoings from Financing Activities,1261
Hawke's Bay Region,2010,38 Net Financing Cash Flows,5352
Hawke's Bay Region,2011,27 Operating receipts,34080
Hawke's Bay Region,2011,28 Operating Payments,33491
Hawke's Bay Region,2011,29 Net Operating Cash Flows,589
Hawke's Bay Region,2011,30 Receipts from Investing Activities,957
Hawke's Bay Region,2011,31 Purchase of Property Plant & Equipment,5454
Hawke's Bay Region,2011,32 Fixed Asset Purchases,0
Hawke's Bay Region,2011,33 Renewals,0
Hawke's Bay Region,2011,34 Purchasing of Other Investments,1578
Hawke's Bay Region,2011,35 Net Investing Cash Flows,-6075
Hawke's Bay Region,2011,36 Cash Receipts from Financing Activities,6783
Hawke's Bay Region,2011,37 Cash Outgoings from Financing Activities,1664
Hawke's Bay Region,2011,38 Net Financing Cash Flows,5119
Hawke's Bay Region,2012,27 Operating receipts,38028
Hawke's Bay Region,2012,28 Operating Payments,35602
Hawke's Bay Region,2012,29 Net Operating Cash Flows,2426
Hawke's Bay Region,2012,30 Receipts from Investing Activities,870
Hawke's Bay Region,2012,31 Purchase of Property Plant & Equipment,4520
Hawke's Bay Region,2012,32 Fixed Asset Purchases,0
Hawke's Bay Region,2012,33 Renewals,0
Hawke's Bay Region,2012,34 Purchasing of Other Investments,1708
Hawke's Bay Region,2012,35 Net Investing Cash Flows,-5358
Hawke's Bay Region,2012,36 Cash Receipts from Financing Activities,6383
