Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,Sum,Maledlarecipunder16,Maledlarecip16to34,Maledlarecip35to49,Maledlarecip50to64,Maledlarecip65plus,Femaledlarecipunder16,Femaledlarecip16to34,Femaledlarecip35to49,Femaledlarecip50to64,Femaledlarecip65plus
95II01,BALLYHANWOOD,CASTLEREAGH,200,10,20,0,40,40,0,10,20,30,50
95II02,BEECHILL,CASTLEREAGH,460,40,30,40,70,50,10,20,50,70,80
95II03,CAIRNSHILL,CASTLEREAGH,200,20,20,10,20,20,10,10,20,40,50
95II04,CARROWREAGH,CASTLEREAGH,420,40,30,30,40,60,20,20,50,60,80
95II05,CARRYDUFF EAST,CASTLEREAGH,350,30,20,20,60,50,10,10,30,60,60
95II06,CARRYDUFF WEST,CASTLEREAGH,220,20,10,20,20,30,10,20,10,40,40
95II07,CREGAGH,CASTLEREAGH,300,30,20,20,40,30,10,20,30,50,50
95II08,DOWNSHIRE,CASTLEREAGH,230,20,20,20,40,30,10,10,20,40,40
95II09,DUNDONALD,CASTLEREAGH,240,10,20,20,40,20,10,10,20,50,40
95II10,ENLER,CASTLEREAGH,410,40,20,20,60,50,10,20,30,60,90
95II11,GALWALLY,CASTLEREAGH,170,20,10,10,20,30,10,10,10,30,30
95II12,GILNAHIRK,CASTLEREAGH,140,20,10,10,20,20,10,0,10,20,30
95II13,GRAHAMS BRIDGE,CASTLEREAGH,350,30,10,30,30,50,10,20,30,60,70
95II14,HILLFOOT,CASTLEREAGH,150,0,10,10,10,20,0,0,10,20,50
95II15,KNOCKBRACKEN,CASTLEREAGH,150,10,10,10,20,20,10,10,10,20,30
95II16,LISNASHARRAGH,CASTLEREAGH,260,30,20,20,20,40,10,10,30,40,60
95II17,LOWER BRANIEL,CASTLEREAGH,250,10,10,20,40,30,10,10,20,50,40
95II18,MINNOWBURN,CASTLEREAGH,380,20,30,30,40,50,10,30,40,60,70
95II19,MONEYREAGH,CASTLEREAGH,260,20,10,10,40,40,10,10,20,40,50
95II20,NEWTOWNBREDA,CASTLEREAGH,190,20,20,10,20,20,10,10,30,30,40
95II21,TULLYCARNET,CASTLEREAGH,330,30,20,20,40,40,10,20,30,50,60
95II22,UPPER BRANIEL,CASTLEREAGH,220,10,10,10,40,30,0,10,20,40,50
95II23,WYNCHURCH,CASTLEREAGH,180,20,20,10,20,20,10,10,20,40,30
95JJ01,AGIVEY,COLERAINE,170,10,10,10,30,20,10,10,20,20,30
95JJ02,ATLANTIC,COLERAINE,210,20,20,30,30,20,0,10,30,30,30
95JJ03,BALLYSALLY,COLERAINE,310,40,30,30,40,20,10,30,30,60,30
95JJ04,CASTLEROCK,COLERAINE,220,20,10,20,30,30,10,10,20,40,40
95JJ05,CENTRAL (COLERAINE),COLERAINE,280,10,10,20,40,40,0,20,30,50,60
95JJ06,CHURCHLAND,COLERAINE,340,10,30,40,40,40,10,20,30,80,50
95JJ07,CROSS GLEBE,COLERAINE,360,40,30,30,40,40,10,20,30,60,60
95JJ08,DUNDOOAN,COLERAINE,230,10,20,10,30,30,0,10,20,40,40
95JJ09,DUNLUCE,COLERAINE,120,10,0,0,30,30,0,10,10,20,20
95JJ10,GARVAGH,COLERAINE,230,20,20,20,30,20,10,10,20,20,40
95JJ11,HOPEFIELD,COLERAINE,240,20,10,20,20,40,10,10,20,50,40
95JJ12,KILREA,COLERAINE,260,20,20,20,30,30,10,20,30,40,50
95JJ13,KNOCKLYNN,COLERAINE,270,30,20,20,40,20,10,20,30,40,40
95JJ14,MACOSQUIN,COLERAINE,180,10,10,20,30,30,10,20,10,30,30
95JJ15,MOUNT SANDEL,COLERAINE,170,10,10,10,20,30,10,10,10,30,20
95JJ16,PORTSTEWART,COLERAINE,170,10,10,20,30,30,0,10,20,20,30
95JJ17,RINGSEND,COLERAINE,180,10,10,10,20,40,10,10,20,30,30
95JJ18,ROYAL PORTRUSH,COLERAINE,210,10,10,30,30,30,0,20,20,30,40
95JJ19,STRAND (COLERAINE),COLERAINE,110,10,10,10,10,10,0,0,10,20,20
95JJ20,THE CUTS,COLERAINE,320,20,30,20,40,40,10,10,30,60,50
95JJ21,UNIVERSITY,COLERAINE,280,20,20,30,40,40,0,10,30,40,50
95JJ22,WATERSIDE,COLERAINE,140,10,10,10,20,20,10,10,10,20,30
95KK01,ARDBOE,COOKSTOWN,450,20,30,40,70,60,10,10,40,70,100
95KK02,COAGH,COOKSTOWN,280,10,10,30,40,60,10,10,20,40,60
95KK03,DUNNAMORE,COOKSTOWN,270,10,10,20,50,50,10,10,20,40,40
95KK04,GORTALOWRY,COOKSTOWN,320,20,30,20,40,40,10,20,30,60,50
95KK05,KILLYCOLPY,COOKSTOWN,330,20,20,20,50,50,20,20,40,40,50
95KK06,KILLYMOON,COOKSTOWN,310,20,20,20,40,50,10,10,20,60,60
95KK07,LISSAN,COOKSTOWN,210,10,20,20,20,40,0,10,20,30,40
95KK08,MONEYMORE,COOKSTOWN,280,30,20,30,30,40,10,20,30,40,40
95KK09,NEWBUILDINGS,COOKSTOWN,310,10,20,40,30,50,10,10,30,50,60
95KK10,OAKLANDS,COOKSTOWN,190,10,10,10,30,30,10,10,20,30,40
95KK11,OLDTOWN,COOKSTOWN,360,10,20,30,60,50,10,20,30,60,70
95KK12,POMEROY,COOKSTOWN,320,20,20,30,50,40,10,20,40,60,40
95KK13,SANDHOLES,COOKSTOWN,200,0,10,20,30,30,0,10,10,40,40
95KK14,STEWARTSTOWN,COOKSTOWN,320,10,20,30,50,50,10,10,40,50,60
95KK15,THE LOOP,COOKSTOWN,290,30,20,20,40,40,10,10,30,50,40
95KK16,TULLAGH,COOKSTOWN,310,10,20,20,40,60,0,20,20,50,70
95LL01,AGHAGALLON,CRAIGAVON,380,20,30,20,60,60,10,20,40,70,60
95LL02,ANNAGH,CRAIGAVON,330,10,30,30,50,50,10,20,30,50,70
95LL03,BALLYBAY,CRAIGAVON,310,20,10,30,40,40,10,10,40,50,60
95LL04,BALLYORAN,CRAIGAVON,370,10,30,30,50,60,10,10,20,70,90
95LL05,BLEARY,CRAIGAVON,350,20,20,30,60,50,10,20,30,50,70
95LL06,BROWNSTOWN,CRAIGAVON,360,20,20,30,40,70,10,10,30,60,70
95LL07,CHURCH,CRAIGAVON,320,20,20,20,40,40,10,20,40,60,70
95LL08,CORCRAIN,CRAIGAVON,480,20,40,40,70,60,10,30,40,80,80
95LL09,COURT,CRAIGAVON,720,20,50,50,110,110,10,30,60,120,170
95LL10,DERRYTRASNA,CRAIGAVON,510,30,50,30,70,80,20,20,50,80,90
95LL11,DONAGHCLONEY,CRAIGAVON,250,20,20,30,30,40,10,10,20,30,40
95LL12,DRUMGASK,CRAIGAVON,690,50,50,60,80,80,30,50,90,120,90
95LL13,DRUMGOR,CRAIGAVON,450,20,30,40,40,60,10,20,60,70,100
95LL14,DRUMNAMOE,CRAIGAVON,580,20,30,40,90,100,10,20,50,120,120
95LL15,EDENDERRY (CRAIGAVON),CRAIGAVON,370,20,20,30,60,70,10,10,20,60,80
95LL16,KERNAN,CRAIGAVON,510,30,30,40,60,70,20,30,60,90,100
95LL17,KILLYCOMAIN,CRAIGAVON,290,10,20,30,30,40,0,10,30,60,60
95LL18,KNOCKNASHANE,CRAIGAVON,300,10,20,20,40,60,10,10,30,60,50
95LL19,MAGHERALIN,CRAIGAVON,400,30,30,40,30,50,20,20,50,60,100
95LL20,MOURNEVIEW,CRAIGAVON,350,20,20,30,40,60,10,10,30,50,80
95LL21,PARKLAKE,CRAIGAVON,480,30,30,40,60,70,10,20,50,60,110
95LL22,TAGHNEVAN,CRAIGAVON,530,40,50,50,60,80,10,30,70,80,80
95LL23,TAVANAGH,CRAIGAVON,320,20,20,30,60,40,10,20,30,60,60
95LL24,THE BIRCHES,CRAIGAVON,310,20,20,20,40,40,10,20,30,40,70
95LL25,WARINGSTOWN,CRAIGAVON,290,10,20,30,40,40,10,10,20,50,70
95LL26,WOODVILLE,CRAIGAVON,460,20,30,50,70,70,10,20,40,80,80
95MM01,ALTNAGELVIN,DERRY,550,30,40,40,70,90,10,30,50,90,100
95MM02,BALLYNASHALLOG,DERRY,340,10,20,20,30,60,0,10,20,60,90
95MM03,BANAGHER,DERRY,320,20,30,40,50,40,10,20,40,40,40
95MM04,BEECHWOOD,DERRY,460,20,20,30,70,70,10,10,40,80,120
95MM05,BRANDYWELL,DERRY,580,20,30,50,100,80,10,20,50,110,120
95MM06,CARN HILL,DERRY,580,30,40,50,70,80,10,30,50,90,130
95MM07,CAW,DERRY,420,20,20,40,50,70,10,20,40,80,80
95MM08,CLONDERMOT,DERRY,520,20,30,30,80,70,10,30,50,90,110
95MM09,CLAUDY,DERRY,380,20,20,30,70,60,10,10,30,60,70
95MM10,CREGGAN CENTRAL,DERRY,550,30,40,40,80,50,20,20,70,120,80
95MM11,CREGGAN SOUTH,DERRY,540,30,30,30,80,60,20,30,60,110,90
95MM12,CREVAGH,DERRY,880,70,100,80,120,70,30,60,120,150,90
95MM13,CULMORE,DERRY,1210,80,70,90,140,160,40,70,160,220,180
95MM14,EBRINGTON,DERRY,400,10,20,40,50,60,10,20,50,70,80
95MM15,EGLINTON,DERRY,430,30,20,30,50,70,10,20,40,80,90
95MM16,ENAGH (DERRY),DERRY,590,40,50,60,70,80,20,30,70,90,90
95MM17,FOYLE SPRINGS,DERRY,470,20,30,30,80,60,10,20,40,120,70
95MM18,HOLLY MOUNT,DERRY,490,40,40,30,60,70,10,20,50,100,70
95MM19,KILFENNAN,DERRY,320,10,10,30,40,40,10,30,30,60,60
95MM20,LISNAGELVIN,DERRY,530,30,20,40,60,80,10,20,50,90,130
95MM21,NEW BUILDINGS,DERRY,410,20,30,40,50,60,10,30,40,70,80
95MM22,PENNYBURN,DERRY,270,10,10,10,40,50,0,10,20,50,70
95MM23,ROSEMOUNT,DERRY,420,10,30,50,80,50,10,20,40,70,80
95MM24,SHANTALLOW EAST,DERRY,520,20,30,30,60,80,20,30,60,70,110
95MM25,SHANTALLOW WEST,DERRY,1060,80,80,110,110,90,40,70,160,220,110
95MM26,SPRINGTOWN,DERRY,480,20,30,40,70,60,10,20,50,110,80
