Councils,Variable,Date,Value ($000)
Buller District,18 Other Assets,2012,34869
Buller District,19 Total Assets,2012,298101
Buller District,20 Public Debt,2012,22849
Buller District,21 Non-current,2012,21453
Buller District,22 Current,2012,1396
Buller District,23 Other Liabilities,2012,3817
Buller District,24 Total Liabilities,2012,26667
Buller District,25 Equity,2012,271433
Buller District,14 Monetary Assets,2013,20981
Buller District,16 Fixed Assets,2013,243243
Buller District,17 Investment properties,2013,0
Buller District,18 Other Assets,2013,34671
Buller District,19 Total Assets,2013,298896
Buller District,20 Public Debt,2013,22102
Buller District,21 Non-current,2013,20847
Buller District,22 Current,2013,1254
Buller District,23 Other Liabilities,2013,3841
Buller District,24 Total Liabilities,2013,25943
Buller District,25 Equity,2013,272952
Buller District,14 Monetary Assets,2014,22073
Buller District,16 Fixed Assets,2014,256109
Buller District,17 Investment properties,2014,0
Buller District,18 Other Assets,2014,34347
Buller District,19 Total Assets,2014,312530
Buller District,20 Public Debt,2014,21122
Buller District,21 Non-current,2014,19781
Buller District,22 Current,2014,1340
Buller District,23 Other Liabilities,2014,3869
Buller District,24 Total Liabilities,2014,24991
Buller District,25 Equity,2014,287539
Buller District,14 Monetary Assets,2015,23145
Buller District,16 Fixed Assets,2015,255815
Buller District,17 Investment properties,2015,0
Buller District,18 Other Assets,2015,33770
Buller District,19 Total Assets,2015,312731
Buller District,20 Public Debt,2015,19856
Buller District,21 Non-current,2015,18528
Buller District,22 Current,2015,1328
Buller District,23 Other Liabilities,2015,3916
Buller District,24 Total Liabilities,2015,23772
Buller District,25 Equity,2015,288958
Buller District,14 Monetary Assets,2016,24268
Buller District,16 Fixed Assets,2016,255456
Buller District,17 Investment properties,2016,0
Buller District,18 Other Assets,2016,34144
Buller District,19 Total Assets,2016,313869
Buller District,20 Public Debt,2016,19529
Buller District,21 Non-current,2016,17864
Buller District,22 Current,2016,1665
Buller District,23 Other Liabilities,2016,3931
Buller District,24 Total Liabilities,2016,23461
Buller District,25 Equity,2016,290408
Canterbury Region,14 Monetary Assets,2007,4286
Canterbury Region,16 Fixed Assets,2007,406457
Canterbury Region,17 Investment properties,2007,0
Canterbury Region,18 Other Assets,2007,32484
Canterbury Region,19 Total Assets,2007,443227
Canterbury Region,20 Public Debt,2007,4978
Canterbury Region,21 Non-current,2007,4978
Canterbury Region,22 Current,2007,0
Canterbury Region,23 Other Liabilities,2007,17661
Canterbury Region,24 Total Liabilities,2007,22639
Canterbury Region,25 Equity,2007,420588
Canterbury Region,14 Monetary Assets,2008,8476
Canterbury Region,16 Fixed Assets,2008,407550
Canterbury Region,17 Investment properties,2008,0
Canterbury Region,18 Other Assets,2008,32693
Canterbury Region,19 Total Assets,2008,448719
Canterbury Region,20 Public Debt,2008,10310
Canterbury Region,21 Non-current,2008,10310
Canterbury Region,22 Current,2008,0
Canterbury Region,23 Other Liabilities,2008,18269
Canterbury Region,24 Total Liabilities,2008,28579
Canterbury Region,25 Equity,2008,420140
Canterbury Region,14 Monetary Assets,2009,11946
Canterbury Region,16 Fixed Assets,2009,409127
Canterbury Region,17 Investment properties,2009,0
Canterbury Region,18 Other Assets,2009,31273
Canterbury Region,19 Total Assets,2009,452346
Canterbury Region,20 Public Debt,2009,14576
Canterbury Region,21 Non-current,2009,14576
Canterbury Region,22 Current,2009,0
Canterbury Region,23 Other Liabilities,2009,18933
Canterbury Region,24 Total Liabilities,2009,33509
Canterbury Region,25 Equity,2009,418837
Canterbury Region,14 Monetary Assets,2010,14646
Canterbury Region,16 Fixed Assets,2010,409305
Canterbury Region,17 Investment properties,2010,0
Canterbury Region,18 Other Assets,2010,34291
Canterbury Region,19 Total Assets,2010,458242
Canterbury Region,20 Public Debt,2010,17801
Canterbury Region,21 Non-current,2010,17801
Canterbury Region,22 Current,2010,0
Canterbury Region,23 Other Liabilities,2010,20516
Canterbury Region,24 Total Liabilities,2010,38317
Canterbury Region,25 Equity,2010,419925
Canterbury Region,14 Monetary Assets,2011,14855
Canterbury Region,16 Fixed Assets,2011,409541
Canterbury Region,17 Investment properties,2011,0
Canterbury Region,18 Other Assets,2011,36131
Canterbury Region,19 Total Assets,2011,460527
Canterbury Region,20 Public Debt,2011,17787
Canterbury Region,21 Non-current,2011,17787
Canterbury Region,22 Current,2011,0
Canterbury Region,23 Other Liabilities,2011,20998
Canterbury Region,24 Total Liabilities,2011,38785
Canterbury Region,25 Equity,2011,421742
Canterbury Region,14 Monetary Assets,2012,14640
Canterbury Region,16 Fixed Assets,2012,409798
