Sample_Ide,Easting,Northing,Auppb,Ptppb,Pdppb
554663,251771,351565,2.5901536,1.4289187,0.7033097
554664,243750,343502,1.2434944,-0.06374,-0.2060792
554665,255668,351500,2.042656,1.6482807,0.6666168
554666,246962,354195,2.1186688,0.4776853,0.1261403
554667,250552,348468,1.8639232,0.265303,-0.0206313
554668,246490,344623,1.1109856,-0.5214089,0.0140782
554669,260028,350739,1.5413824,0.5295345,-0.021623
554670,243788,345127,3.1602496,1.5336142,0.3036546
554671,245730,343807,1.5742528,0.4208506,0.1003561
554672,251492,347217,1.621504,-0.3578845,-0.1416187
554673,247701,343367,2.3025376,0.8775224,-0.3131828
554674,245310,361376,2.4288832,0.9273774,0.2342356
554675,258090,350712,2.0128672,0.484665,0.2134099
554676,243485,351206,123.11872,765.090858,394.903068
554678,250322,346898,3.1736032,0.3071812,0.345306
554679,250609,352122,4.5911392,-0.3808178,0.1499411
554681,256655,348813,3.2126368,2.319329,0.811405
554682,244278,344122,1.1212576,0.1665901,0.1995261
554685,248436,346302,1.4530432,-0.2342441,0.3899325
554686,255740,343927,6.7513408,0.2423697,0.7171935
554687,256248,352327,2.0857984,0.723969,1.3022965
554688,252317,346183,0.774064,-0.2721339,0.5823223
554689,248158,360761,1.0647616,0.1705785,0.2510945
554690,252709,350662,0.8706208,-1.1665326,0.2501028
554691,250459,350257,1.487968,0.0718656,0.6616583
554692,249116,353360,3.4437568,-0.1963543,0.5010029
554693,252163,344797,1.1962432,1.6732082,0.345306
554694,257274,347507,0.9322528,0.8346471,0.4434843
554695,251094,349490,1.1058496,0.4726998,0.5585215
554696,243883,349650,0.7576288,1.282345,1.2160186
554697,247274,353741,0.7103776,0.5863692,0.8778489
554698,244731,360617,1.3071808,0.3370942,0.5882725
554699,257398,351552,0.9219808,0.3909376,0.4881108
554700,253974,345292,0.6395008,0.365013,0.6586832
554701,245434,355354,0.3950272,-0.0348241,0.2669617
554702,258479,356638,1.3153984,-0.6131421,0.1053146
554703,259669,355659,0.7679008,0.3699985,0.8173552
554704,254464,360623,0.661072,0.4677143,0.355223
554708,259535,353320,0.3405856,-0.3060353,0.0339122
554710,241715,357779,0.969232,1.1886176,0.3572064
554711,238714,358164,8.7410272,-0.4117279,0.3859657
554712,257759,359765,3.7077472,0.9662643,0.3839823
554713,242875,354316,0.8059072,-0.003914,0.2510945
554714,238683,356247,0.7463296,-0.0886675,0.1668
554715,254360,358645,1.4653696,0.3291174,0.5188535
554716,252645,364526,0.6672352,0.6292445,0.4950527
554717,249489,363425,2.0313568,2.1089409,0.3810072
554718,245845,365419,2.2306336,0.1885263,1.2011431
554719,256701,358250,0.383728,-0.3279715,0.3304305
554720,242762,356497,0.3755104,0.0628917,0.1658083
554721,241466,353823,0.4987744,-1.0000169,0.5307539
554722,243538,353395,0.4525504,0.065883,0.0269703
554723,252539,362887,0.281008,0.1506365,0.3710902
554724,239615,355552,0.6600448,0.3440739,0.4702602
554725,247444,365246,0.8223424,0.4736969,0.811405
554726,253572,353551,1.3605952,0.2663001,0.3244803
554727,245451,357365,0.6374464,0.4507636,-0.0602993
554728,257552,353817,5.3235328,1.3391797,0.8847908
554729,250572,356264,0.8839744,1.780895,0.2897708
554730,258407,354494,0.943552,-0.2382325,0.2253103
554731,254523,354622,0.4381696,-0.1784065,-0.1733531
554732,262348,358394,0.789472,0.0748569,0.6170318
554733,244796,354370,0.5439712,0.0429497,0.1499411
554735,253357,359608,0.7185952,0.2583233,0.0071363
554736,250272,360611,0.6908608,0.3739869,0.1043229
554737,238510,360571,1.349296,0.4806766,0.7647951
