Council,Financial,Date,Value ($000)
Otago Region,37 Net Financing Cash Flows,2013,0
Otago Region,26 Operating Receipts,2014,28422
Otago Region,27 Operating Payments,2014,24186
Otago Region,28 Net Operating Cash Flows,2014,4236
Otago Region,29 Receipts from Investing Activities,2014,0
Otago Region,30 Purchase of Property Plant & Equipment,2014,755
Otago Region,31 Fixed asset purchases,2014,0
Otago Region,32 Renewals,2014,0
Otago Region,33 Purchase of Other investments,2014,0
Otago Region,34 Net Investing Cash Flows,2014,-755
Otago Region,35 Cash Receipts from Financing Activities,2014,0
Otago Region,36 Cash Outgoings from Financing Activities,2014,0
Otago Region,37 Net Financing Cash Flows,2014,0
Otago Region,26 Operating Receipts,2015,29298
Otago Region,27 Operating Payments,2015,24451
Otago Region,28 Net Operating Cash Flows,2015,4847
Otago Region,29 Receipts from Investing Activities,2015,0
Otago Region,30 Purchase of Property Plant & Equipment,2015,766
Otago Region,31 Fixed asset purchases,2015,0
Otago Region,32 Renewals,2015,0
Otago Region,33 Purchase of Other investments,2015,0
Otago Region,34 Net Investing Cash Flows,2015,-766
Otago Region,35 Cash Receipts from Financing Activities,2015,0
Otago Region,36 Cash Outgoings from Financing Activities,2015,0
Otago Region,37 Net Financing Cash Flows,2015,0
Otago Region,26 Operating Receipts,2016,33259
Otago Region,27 Operating Payments,2016,28351
Otago Region,28 Net Operating Cash Flows,2016,4908
Otago Region,29 Receipts from Investing Activities,2016,0
Otago Region,30 Purchase of Property Plant & Equipment,2016,830
Otago Region,31 Fixed asset purchases,2016,0
Otago Region,32 Renewals,2016,0
Otago Region,33 Purchase of Other investments,2016,0
Otago Region,34 Net Investing Cash Flows,2016,-830
Otago Region,35 Cash Receipts from Financing Activities,2016,0
Otago Region,36 Cash Outgoings from Financing Activities,2016,0
Otago Region,37 Net Financing Cash Flows,2016,0
Otorohanga District,26 Operating Receipts,2007,12624
Otorohanga District,27 Operating Payments,2007,8192
Otorohanga District,28 Net Operating Cash Flows,2007,4431
Otorohanga District,29 Receipts from Investing Activities,2007,665
Otorohanga District,30 Purchase of Property Plant & Equipment,2007,6542
Otorohanga District,31 Fixed asset purchases,2007,0
Otorohanga District,32 Renewals,2007,0
Otorohanga District,33 Purchase of Other investments,2007,0
Otorohanga District,34 Net Investing Cash Flows,2007,-5876
Otorohanga District,35 Cash Receipts from Financing Activities,2007,1710
Otorohanga District,36 Cash Outgoings from Financing Activities,2007,15
Otorohanga District,37 Net Financing Cash Flows,2007,1694
Otorohanga District,26 Operating Receipts,2008,13136
Otorohanga District,27 Operating Payments,2008,8455
Otorohanga District,28 Net Operating Cash Flows,2008,4680
Otorohanga District,29 Receipts from Investing Activities,2008,1045
Otorohanga District,30 Purchase of Property Plant & Equipment,2008,5396
Otorohanga District,31 Fixed asset purchases,2008,0
Otorohanga District,32 Renewals,2008,0
Otorohanga District,33 Purchase of Other investments,2008,0
Otorohanga District,34 Net Investing Cash Flows,2008,-4351
Otorohanga District,35 Cash Receipts from Financing Activities,2008,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2008,279
Otorohanga District,37 Net Financing Cash Flows,2008,-279
Otorohanga District,26 Operating Receipts,2009,13505
Otorohanga District,27 Operating Payments,2009,8637
Otorohanga District,28 Net Operating Cash Flows,2009,4867
Otorohanga District,29 Receipts from Investing Activities,2009,655
Otorohanga District,30 Purchase of Property Plant & Equipment,2009,4737
Otorohanga District,31 Fixed asset purchases,2009,0
Otorohanga District,32 Renewals,2009,0
Otorohanga District,33 Purchase of Other investments,2009,0
Otorohanga District,34 Net Investing Cash Flows,2009,-4081
Otorohanga District,35 Cash Receipts from Financing Activities,2009,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2009,786
Otorohanga District,37 Net Financing Cash Flows,2009,-786
Otorohanga District,26 Operating Receipts,2010,13914
Otorohanga District,27 Operating Payments,2010,8745
Otorohanga District,28 Net Operating Cash Flows,2010,5168
Otorohanga District,29 Receipts from Investing Activities,2010,294
Otorohanga District,30 Purchase of Property Plant & Equipment,2010,4282
Otorohanga District,31 Fixed asset purchases,2010,0
Otorohanga District,32 Renewals,2010,0
Otorohanga District,33 Purchase of Other investments,2010,0
Otorohanga District,34 Net Investing Cash Flows,2010,-3987
Otorohanga District,35 Cash Receipts from Financing Activities,2010,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2010,1231
Otorohanga District,37 Net Financing Cash Flows,2010,231
Otorohanga District,26 Operating Receipts,2011,14630
Otorohanga District,27 Operating Payments,2011,8780
Otorohanga District,28 Net Operating Cash Flows,2011,5849
Otorohanga District,29 Receipts from Investing Activities,2011,50
Otorohanga District,30 Purchase of Property Plant & Equipment,2011,4863
Otorohanga District,31 Fixed asset purchases,2011,0
Otorohanga District,32 Renewals,2011,0
Otorohanga District,33 Purchase of Other investments,2011,0
Otorohanga District,34 Net Investing Cash Flows,2011,-4813
Otorohanga District,35 Cash Receipts from Financing Activities,2011,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2011,1035
Otorohanga District,37 Net Financing Cash Flows,2011,35
Otorohanga District,26 Operating Receipts,2012,15295
Otorohanga District,27 Operating Payments,2012,8966
Otorohanga District,28 Net Operating Cash Flows,2012,6328
Otorohanga District,29 Receipts from Investing Activities,2012,40
Otorohanga District,30 Purchase of Property Plant & Equipment,2012,5208
Otorohanga District,31 Fixed asset purchases,2012,0
Otorohanga District,32 Renewals,2012,0
Otorohanga District,33 Purchase of Other investments,2012,0
Otorohanga District,34 Net Investing Cash Flows,2012,-5167
Otorohanga District,35 Cash Receipts from Financing Activities,2012,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2012,1161
Otorohanga District,37 Net Financing Cash Flows,2012,161
Otorohanga District,26 Operating Receipts,2013,15805
Otorohanga District,27 Operating Payments,2013,8942
Otorohanga District,28 Net Operating Cash Flows,2013,6863
Otorohanga District,29 Receipts from Investing Activities,2013,30
Otorohanga District,30 Purchase of Property Plant & Equipment,2013,5432
Otorohanga District,31 Fixed asset purchases,2013,0
Otorohanga District,32 Renewals,2013,0
Otorohanga District,33 Purchase of Other investments,2013,0
Otorohanga District,34 Net Investing Cash Flows,2013,-5402
Otorohanga District,35 Cash Receipts from Financing Activities,2013,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2013,1460
Otorohanga District,37 Net Financing Cash Flows,2013,460
Otorohanga District,26 Operating Receipts,2014,15925
Otorohanga District,27 Operating Payments,2014,9107
Otorohanga District,28 Net Operating Cash Flows,2014,6818
Otorohanga District,29 Receipts from Investing Activities,2014,50
Otorohanga District,30 Purchase of Property Plant & Equipment,2014,5042
Otorohanga District,31 Fixed asset purchases,2014,0
Otorohanga District,32 Renewals,2014,0
Otorohanga District,33 Purchase of Other investments,2014,0
Otorohanga District,34 Net Investing Cash Flows,2014,-4992
Otorohanga District,35 Cash Receipts from Financing Activities,2014,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2014,1826
Otorohanga District,37 Net Financing Cash Flows,2014,826
Otorohanga District,26 Operating Receipts,2015,16245
Otorohanga District,27 Operating Payments,2015,9194
Otorohanga District,28 Net Operating Cash Flows,2015,7050
Otorohanga District,29 Receipts from Investing Activities,2015,40
Otorohanga District,30 Purchase of Property Plant & Equipment,2015,5636
Otorohanga District,31 Fixed asset purchases,2015,0
Otorohanga District,32 Renewals,2015,0
Otorohanga District,33 Purchase of Other investments,2015,0
Otorohanga District,34 Net Investing Cash Flows,2015,-5595
Otorohanga District,35 Cash Receipts from Financing Activities,2015,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2015,1455
Otorohanga District,37 Net Financing Cash Flows,2015,455
Otorohanga District,26 Operating Receipts,2016,16607
Otorohanga District,27 Operating Payments,2016,9244
Otorohanga District,28 Net Operating Cash Flows,2016,7362
Otorohanga District,29 Receipts from Investing Activities,2016,30
Otorohanga District,30 Purchase of Property Plant & Equipment,2016,5294
Otorohanga District,31 Fixed asset purchases,2016,0
Otorohanga District,32 Renewals,2016,0
Otorohanga District,33 Purchase of Other investments,2016,0
Otorohanga District,34 Net Investing Cash Flows,2016,-5264
Otorohanga District,35 Cash Receipts from Financing Activities,2016,0
Otorohanga District,36 Cash Outgoings from Financing Activities,2016,2098
Otorohanga District,37 Net Financing Cash Flows,2016,-2098
Palmerston North City,26 Operating Receipts,2007,81827
Palmerston North City,27 Operating Payments,2007,67572
Palmerston North City,28 Net Operating Cash Flows,2007,14255
Palmerston North City,29 Receipts from Investing Activities,2007,643
Palmerston North City,30 Purchase of Property Plant & Equipment,2007,47220
Palmerston North City,31 Fixed asset purchases,2007,0
Palmerston North City,32 Renewals,2007,0
Palmerston North City,33 Purchase of Other investments,2007,3500
Palmerston North City,34 Net Investing Cash Flows,2007,-50077
Palmerston North City,35 Cash Receipts from Financing Activities,2007,35822
Palmerston North City,36 Cash Outgoings from Financing Activities,2007,0
Palmerston North City,37 Net Financing Cash Flows,2007,35822
Palmerston North City,26 Operating Receipts,2008,89194
Palmerston North City,27 Operating Payments,2008,70739
Palmerston North City,28 Net Operating Cash Flows,2008,18455
Palmerston North City,29 Receipts from Investing Activities,2008,192
Palmerston North City,30 Purchase of Property Plant & Equipment,2008,42923
Palmerston North City,31 Fixed asset purchases,2008,0
Palmerston North City,32 Renewals,2008,0
Palmerston North City,33 Purchase of Other investments,2008,3500
Palmerston North City,34 Net Investing Cash Flows,2008,-46231
Palmerston North City,35 Cash Receipts from Financing Activities,2008,27780
Palmerston North City,36 Cash Outgoings from Financing Activities,2008,0
Palmerston North City,37 Net Financing Cash Flows,2008,27780
Palmerston North City,26 Operating Receipts,2009,98440
Palmerston North City,27 Operating Payments,2009,74151
Palmerston North City,28 Net Operating Cash Flows,2009,24289
Palmerston North City,29 Receipts from Investing Activities,2009,192
Palmerston North City,30 Purchase of Property Plant & Equipment,2009,50727
Palmerston North City,31 Fixed asset purchases,2009,0
Palmerston North City,32 Renewals,2009,0
Palmerston North City,33 Purchase of Other investments,2009,0
Palmerston North City,34 Net Investing Cash Flows,2009,-50535
Palmerston North City,35 Cash Receipts from Financing Activities,2009,26255
Palmerston North City,36 Cash Outgoings from Financing Activities,2009,0
Palmerston North City,37 Net Financing Cash Flows,2009,26255
Palmerston North City,26 Operating Receipts,2010,108787
Palmerston North City,27 Operating Payments,2010,77731
Palmerston North City,28 Net Operating Cash Flows,2010,31056
Palmerston North City,29 Receipts from Investing Activities,2010,202
Palmerston North City,30 Purchase of Property Plant & Equipment,2010,58835
Palmerston North City,31 Fixed asset purchases,2010,0
Palmerston North City,32 Renewals,2010,0
Palmerston North City,33 Purchase of Other investments,2010,0
Palmerston North City,34 Net Investing Cash Flows,2010,-58633
Palmerston North City,35 Cash Receipts from Financing Activities,2010,27593
Palmerston North City,36 Cash Outgoings from Financing Activities,2010,0
Palmerston North City,37 Net Financing Cash Flows,2010,27593
Palmerston North City,26 Operating Receipts,2011,112063
Palmerston North City,27 Operating Payments,2011,81044
Palmerston North City,28 Net Operating Cash Flows,2011,31019
Palmerston North City,29 Receipts from Investing Activities,2011,202
Palmerston North City,30 Purchase of Property Plant & Equipment,2011,49363
Palmerston North City,31 Fixed asset purchases,2011,0
Palmerston North City,32 Renewals,2011,0
Palmerston North City,33 Purchase of Other investments,2011,0
Palmerston North City,34 Net Investing Cash Flows,2011,-49161
Palmerston North City,35 Cash Receipts from Financing Activities,2011,18162
Palmerston North City,36 Cash Outgoings from Financing Activities,2011,0
Palmerston North City,37 Net Financing Cash Flows,2011,18162
Palmerston North City,26 Operating Receipts,2012,114878
Palmerston North City,27 Operating Payments,2012,83843
Palmerston North City,28 Net Operating Cash Flows,2012,31035
Palmerston North City,29 Receipts from Investing Activities,2012,352
Palmerston North City,30 Purchase of Property Plant & Equipment,2012,48724
Palmerston North City,31 Fixed asset purchases,2012,0
Palmerston North City,32 Renewals,2012,0
Palmerston North City,33 Purchase of Other investments,2012,0
Palmerston North City,34 Net Investing Cash Flows,2012,-48372
Palmerston North City,35 Cash Receipts from Financing Activities,2012,17378
Palmerston North City,36 Cash Outgoings from Financing Activities,2012,0
Palmerston North City,37 Net Financing Cash Flows,2012,17378
Palmerston North City,26 Operating Receipts,2013,116940
Palmerston North City,27 Operating Payments,2013,86685
Palmerston North City,28 Net Operating Cash Flows,2013,30255
Palmerston North City,29 Receipts from Investing Activities,2013,347
Palmerston North City,30 Purchase of Property Plant & Equipment,2013,33013
Palmerston North City,31 Fixed asset purchases,2013,0
Palmerston North City,32 Renewals,2013,0
Palmerston North City,33 Purchase of Other investments,2013,0
Palmerston North City,34 Net Investing Cash Flows,2013,-32666
Palmerston North City,35 Cash Receipts from Financing Activities,2013,2456
Palmerston North City,36 Cash Outgoings from Financing Activities,2013,0
Palmerston North City,37 Net Financing Cash Flows,2013,2456
Palmerston North City,26 Operating Receipts,2014,118324
Palmerston North City,27 Operating Payments,2014,88615
Palmerston North City,28 Net Operating Cash Flows,2014,29709
Palmerston North City,29 Receipts from Investing Activities,2014,147
Palmerston North City,30 Purchase of Property Plant & Equipment,2014,31486
Palmerston North City,31 Fixed asset purchases,2014,0
Palmerston North City,32 Renewals,2014,0
Palmerston North City,33 Purchase of Other investments,2014,0
Palmerston North City,34 Net Investing Cash Flows,2014,-31339
Palmerston North City,35 Cash Receipts from Financing Activities,2014,1651
Palmerston North City,36 Cash Outgoings from Financing Activities,2014,0
Palmerston North City,37 Net Financing Cash Flows,2014,1651
Palmerston North City,26 Operating Receipts,2015,122682
Palmerston North City,27 Operating Payments,2015,90241
Palmerston North City,28 Net Operating Cash Flows,2015,32441
Palmerston North City,29 Receipts from Investing Activities,2015,149
Palmerston North City,30 Purchase of Property Plant & Equipment,2015,40430
Palmerston North City,31 Fixed asset purchases,2015,0
Palmerston North City,32 Renewals,2015,0
Palmerston North City,33 Purchase of Other investments,2015,0
Palmerston North City,34 Net Investing Cash Flows,2015,-40281
Palmerston North City,35 Cash Receipts from Financing Activities,2015,7864
Palmerston North City,36 Cash Outgoings from Financing Activities,2015,0
Palmerston North City,37 Net Financing Cash Flows,2015,7864
Palmerston North City,26 Operating Receipts,2016,127523
Palmerston North City,27 Operating Payments,2016,92162
Palmerston North City,28 Net Operating Cash Flows,2016,35361
Palmerston North City,29 Receipts from Investing Activities,2016,151
Palmerston North City,30 Purchase of Property Plant & Equipment,2016,39881
Palmerston North City,31 Fixed asset purchases,2016,0
Palmerston North City,32 Renewals,2016,0
Palmerston North City,33 Purchase of Other investments,2016,0
Palmerston North City,34 Net Investing Cash Flows,2016,-39730
Palmerston North City,35 Cash Receipts from Financing Activities,2016,4395
Palmerston North City,36 Cash Outgoings from Financing Activities,2016,0
Palmerston North City,37 Net Financing Cash Flows,2016,4395
Papakura District,26 Operating Receipts,2007,42052
Papakura District,27 Operating Payments,2007,24673
Papakura District,28 Net Operating Cash Flows,2007,17379
Papakura District,29 Receipts from Investing Activities,2007,13
Papakura District,30 Purchase of Property Plant & Equipment,2007,45886
Papakura District,31 Fixed asset purchases,2007,0
Papakura District,32 Renewals,2007,0
Papakura District,33 Purchase of Other investments,2007,0
Papakura District,34 Net Investing Cash Flows,2007,-45873
Papakura District,35 Cash Receipts from Financing Activities,2007,17765
Papakura District,36 Cash Outgoings from Financing Activities,2007,0
Papakura District,37 Net Financing Cash Flows,2007,17765
Papakura District,26 Operating Receipts,2008,47262
Papakura District,27 Operating Payments,2008,25298
Papakura District,28 Net Operating Cash Flows,2008,21964
Papakura District,29 Receipts from Investing Activities,2008,689
Papakura District,30 Purchase of Property Plant & Equipment,2008,28188
Papakura District,31 Fixed asset purchases,2008,0
Papakura District,32 Renewals,2008,0
Papakura District,33 Purchase of Other investments,2008,0
Papakura District,34 Net Investing Cash Flows,2008,-27499
Papakura District,35 Cash Receipts from Financing Activities,2008,4573
Papakura District,36 Cash Outgoings from Financing Activities,2008,0
Papakura District,37 Net Financing Cash Flows,2008,4573
Papakura District,26 Operating Receipts,2009,52554
Papakura District,27 Operating Payments,2009,28061
Papakura District,28 Net Operating Cash Flows,2009,24493
Papakura District,29 Receipts from Investing Activities,2009,14
Papakura District,30 Purchase of Property Plant & Equipment,2009,26856
Papakura District,31 Fixed asset purchases,2009,0
Papakura District,32 Renewals,2009,0
Papakura District,33 Purchase of Other investments,2009,0
Papakura District,34 Net Investing Cash Flows,2009,-26842
Papakura District,35 Cash Receipts from Financing Activities,2009,1631
Papakura District,36 Cash Outgoings from Financing Activities,2009,0
Papakura District,37 Net Financing Cash Flows,2009,1631
Papakura District,26 Operating Receipts,2010,63132
Papakura District,27 Operating Payments,2010,28336
Papakura District,28 Net Operating Cash Flows,2010,34796
Papakura District,29 Receipts from Investing Activities,2010,15
Papakura District,30 Purchase of Property Plant & Equipment,2010,32706
Papakura District,31 Fixed asset purchases,2010,0
Papakura District,32 Renewals,2010,0
Papakura District,33 Purchase of Other investments,2010,0
Papakura District,34 Net Investing Cash Flows,2010,-32691
Papakura District,35 Cash Receipts from Financing Activities,2010,0
Papakura District,36 Cash Outgoings from Financing Activities,2010,2097
Papakura District,37 Net Financing Cash Flows,2010,-2097
Papakura District,26 Operating Receipts,2011,57878
Papakura District,27 Operating Payments,2011,30784
Papakura District,28 Net Operating Cash Flows,2011,27094
Papakura District,29 Receipts from Investing Activities,2011,15
Papakura District,30 Purchase of Property Plant & Equipment,2011,28821
Papakura District,31 Fixed asset purchases,2011,0
Papakura District,32 Renewals,2011,0
Papakura District,33 Purchase of Other investments,2011,0
Papakura District,34 Net Investing Cash Flows,2011,-28806
Papakura District,35 Cash Receipts from Financing Activities,2011,1781
Papakura District,36 Cash Outgoings from Financing Activities,2011,0
Papakura District,37 Net Financing Cash Flows,2011,1781
Papakura District,26 Operating Receipts,2012,57666
Papakura District,27 Operating Payments,2012,31048
Papakura District,28 Net Operating Cash Flows,2012,26618
Papakura District,29 Receipts from Investing Activities,2012,15
Papakura District,30 Purchase of Property Plant & Equipment,2012,26428
Papakura District,31 Fixed asset purchases,2012,0
Papakura District,32 Renewals,2012,0
Papakura District,33 Purchase of Other investments,2012,8
Papakura District,34 Net Investing Cash Flows,2012,-26421
Papakura District,35 Cash Receipts from Financing Activities,2012,2
Papakura District,36 Cash Outgoings from Financing Activities,2012,0
Papakura District,37 Net Financing Cash Flows,2012,2
Papakura District,26 Operating Receipts,2013,59463
Papakura District,27 Operating Payments,2013,31110
Papakura District,28 Net Operating Cash Flows,2013,28353
Papakura District,29 Receipts from Investing Activities,2013,7
Papakura District,30 Purchase of Property Plant & Equipment,2013,32275
Papakura District,31 Fixed asset purchases,2013,0
Papakura District,32 Renewals,2013,0
Papakura District,33 Purchase of Other investments,2013,7
Papakura District,34 Net Investing Cash Flows,2013,-32275
Papakura District,35 Cash Receipts from Financing Activities,2013,4421
Papakura District,36 Cash Outgoings from Financing Activities,2013,0
Papakura District,37 Net Financing Cash Flows,2013,4421
Papakura District,26 Operating Receipts,2014,59699
Papakura District,27 Operating Payments,2014,33528
Papakura District,28 Net Operating Cash Flows,2014,26171
Papakura District,29 Receipts from Investing Activities,2014,0
Papakura District,30 Purchase of Property Plant & Equipment,2014,23872
Papakura District,31 Fixed asset purchases,2014,0
Papakura District,32 Renewals,2014,0
Papakura District,33 Purchase of Other investments,2014,0
Papakura District,34 Net Investing Cash Flows,2014,-23872
Papakura District,35 Cash Receipts from Financing Activities,2014,0
Papakura District,36 Cash Outgoings from Financing Activities,2014,3540
Papakura District,37 Net Financing Cash Flows,2014,-3540
Papakura District,26 Operating Receipts,2015,61946
Papakura District,27 Operating Payments,2015,32675
Papakura District,28 Net Operating Cash Flows,2015,29271
Papakura District,29 Receipts from Investing Activities,2015,0
Papakura District,30 Purchase of Property Plant & Equipment,2015,22035
Papakura District,31 Fixed asset purchases,2015,0
Papakura District,32 Renewals,2015,0
Papakura District,33 Purchase of Other investments,2015,0
Papakura District,34 Net Investing Cash Flows,2015,-22035
Papakura District,35 Cash Receipts from Financing Activities,2015,0
Papakura District,36 Cash Outgoings from Financing Activities,2015,6465
Papakura District,37 Net Financing Cash Flows,2015,-6465
Papakura District,26 Operating Receipts,2016,64345
Papakura District,27 Operating Payments,2016,32301
Papakura District,28 Net Operating Cash Flows,2016,32044
Papakura District,29 Receipts from Investing Activities,2016,0
Papakura District,30 Purchase of Property Plant & Equipment,2016,23917
Papakura District,31 Fixed asset purchases,2016,0
Papakura District,32 Renewals,2016,0
Papakura District,33 Purchase of Other investments,2016,0
Papakura District,34 Net Investing Cash Flows,2016,-23917
Papakura District,35 Cash Receipts from Financing Activities,2016,0
Papakura District,36 Cash Outgoings from Financing Activities,2016,7042
Papakura District,37 Net Financing Cash Flows,2016,-7042
Porirua City,26 Operating Receipts,2007,47474
Porirua City,27 Operating Payments,2007,39345
Porirua City,28 Net Operating Cash Flows,2007,8129
Porirua City,29 Receipts from Investing Activities,2007,4383
Porirua City,30 Purchase of Property Plant & Equipment,2007,12125
Porirua City,31 Fixed asset purchases,2007,0
Porirua City,32 Renewals,2007,0
Porirua City,33 Purchase of Other investments,2007,750
Porirua City,34 Net Investing Cash Flows,2007,-8492
Porirua City,35 Cash Receipts from Financing Activities,2007,6385
Porirua City,36 Cash Outgoings from Financing Activities,2007,6022
Porirua City,37 Net Financing Cash Flows,2007,363
Porirua City,26 Operating Receipts,2008,49505
Porirua City,27 Operating Payments,2008,41238
Porirua City,28 Net Operating Cash Flows,2008,8267
Porirua City,29 Receipts from Investing Activities,2008,2313
Porirua City,30 Purchase of Property Plant & Equipment,2008,16309
Porirua City,31 Fixed asset purchases,2008,0
Porirua City,32 Renewals,2008,0
Porirua City,33 Purchase of Other investments,2008,0
Porirua City,34 Net Investing Cash Flows,2008,3996
Porirua City,35 Cash Receipts from Financing Activities,2008,9745
Porirua City,36 Cash Outgoings from Financing Activities,2008,4016
Porirua City,37 Net Financing Cash Flows,2008,5729
Porirua City,26 Operating Receipts,2009,51711
Porirua City,27 Operating Payments,2009,42170
Porirua City,28 Net Operating Cash Flows,2009,9541
Porirua City,29 Receipts from Investing Activities,2009,207
Porirua City,30 Purchase of Property Plant & Equipment,2009,14060
Porirua City,31 Fixed asset purchases,2009,0
Porirua City,32 Renewals,2009,0
Porirua City,33 Purchase of Other investments,2009,330
Porirua City,34 Net Investing Cash Flows,2009,4183
Porirua City,35 Cash Receipts from Financing Activities,2009,6674
Porirua City,36 Cash Outgoings from Financing Activities,2009,2032
Porirua City,37 Net Financing Cash Flows,2009,4642
Porirua City,26 Operating Receipts,2010,53066
Porirua City,27 Operating Payments,2010,43193
Porirua City,28 Net Operating Cash Flows,2010,9873
Porirua City,29 Receipts from Investing Activities,2010,198
Porirua City,30 Purchase of Property Plant & Equipment,2010,10070
Porirua City,31 Fixed asset purchases,2010,0
Porirua City,32 Renewals,2010,0
Porirua City,33 Purchase of Other investments,2010,549
Porirua City,34 Net Investing Cash Flows,2010,421
Porirua City,35 Cash Receipts from Financing Activities,2010,556
Porirua City,36 Cash Outgoings from Financing Activities,2010,8
Porirua City,37 Net Financing Cash Flows,2010,548
Porirua City,26 Operating Receipts,2011,55661
Porirua City,27 Operating Payments,2011,45484
Porirua City,28 Net Operating Cash Flows,2011,10177
Porirua City,29 Receipts from Investing Activities,2011,174
Porirua City,30 Purchase of Property Plant & Equipment,2011,11452
Porirua City,31 Fixed asset purchases,2011,0
Porirua City,32 Renewals,2011,0
Porirua City,33 Purchase of Other investments,2011,778
Porirua City,34 Net Investing Cash Flows,2011,2056
Porirua City,35 Cash Receipts from Financing Activities,2011,5885
Porirua City,36 Cash Outgoings from Financing Activities,2011,4006
Porirua City,37 Net Financing Cash Flows,2011,1879
Porirua City,26 Operating Receipts,2012,56689
Porirua City,27 Operating Payments,2012,46185
Porirua City,28 Net Operating Cash Flows,2012,10504
Porirua City,29 Receipts from Investing Activities,2012,193
Porirua City,30 Purchase of Property Plant & Equipment,2012,7411
Porirua City,31 Fixed asset purchases,2012,0
Porirua City,32 Renewals,2012,0
Porirua City,33 Purchase of Other investments,2012,1038
Porirua City,34 Net Investing Cash Flows,2012,-8256
Porirua City,35 Cash Receipts from Financing Activities,2012,0
Porirua City,36 Cash Outgoings from Financing Activities,2012,2248
Porirua City,37 Net Financing Cash Flows,2012,-2248
Porirua City,26 Operating Receipts,2013,57192
Porirua City,27 Operating Payments,2013,46478
Porirua City,28 Net Operating Cash Flows,2013,10714
Porirua City,29 Receipts from Investing Activities,2013,203
Porirua City,30 Purchase of Property Plant & Equipment,2013,10065
Porirua City,31 Fixed asset purchases,2013,0
Porirua City,32 Renewals,2013,0
Porirua City,33 Purchase of Other investments,2013,819
Porirua City,34 Net Investing Cash Flows,2013,681
Porirua City,35 Cash Receipts from Financing Activities,2013,0
Porirua City,36 Cash Outgoings from Financing Activities,2013,33
Porirua City,37 Net Financing Cash Flows,2013,-33
Porirua City,26 Operating Receipts,2014,57898
Porirua City,27 Operating Payments,2014,50062
Porirua City,28 Net Operating Cash Flows,2014,7836
Porirua City,29 Receipts from Investing Activities,2014,200
Porirua City,30 Purchase of Property Plant & Equipment,2014,5950
Porirua City,31 Fixed asset purchases,2014,0
Porirua City,32 Renewals,2014,0
Porirua City,33 Purchase of Other investments,2014,201
Porirua City,34 Net Investing Cash Flows,2014,-5951
Porirua City,35 Cash Receipts from Financing Activities,2014,0
Porirua City,36 Cash Outgoings from Financing Activities,2014,1885
Porirua City,37 Net Financing Cash Flows,2014,885
Porirua City,26 Operating Receipts,2015,59161
Porirua City,27 Operating Payments,2015,49920
Porirua City,28 Net Operating Cash Flows,2015,9241
Porirua City,29 Receipts from Investing Activities,2015,226
Porirua City,30 Purchase of Property Plant & Equipment,2015,8029
Porirua City,31 Fixed asset purchases,2015,0
Porirua City,32 Renewals,2015,0
Porirua City,33 Purchase of Other investments,2015,616
Porirua City,34 Net Investing Cash Flows,2015,-8419
Porirua City,35 Cash Receipts from Financing Activities,2015,0
Porirua City,36 Cash Outgoings from Financing Activities,2015,822
Porirua City,37 Net Financing Cash Flows,2015,-822
Porirua City,26 Operating Receipts,2016,60739
Porirua City,27 Operating Payments,2016,50830
Porirua City,28 Net Operating Cash Flows,2016,9909
Porirua City,29 Receipts from Investing Activities,2016,204
Porirua City,30 Purchase of Property Plant & Equipment,2016,7858
Porirua City,31 Fixed asset purchases,2016,0
Porirua City,32 Renewals,2016,0
Porirua City,33 Purchase of Other investments,2016,386
Porirua City,34 Net Investing Cash Flows,2016,-8040
Porirua City,35 Cash Receipts from Financing Activities,2016,1631
Porirua City,36 Cash Outgoings from Financing Activities,2016,3500
Porirua City,37 Net Financing Cash Flows,2016,869
Queenstown-Lakes District,26 Operating Receipts,2007,69145
Queenstown-Lakes District,27 Operating Payments,2007,37743
Queenstown-Lakes District,28 Net Operating Cash Flows,2007,31402
Queenstown-Lakes District,29 Receipts from Investing Activities,2007,2787
Queenstown-Lakes District,30 Purchase of Property Plant & Equipment,2007,56449
Queenstown-Lakes District,31 Fixed asset purchases,2007,0
Queenstown-Lakes District,32 Renewals,2007,0
Queenstown-Lakes District,33 Purchase of Other investments,2007,0
Queenstown-Lakes District,34 Net Investing Cash Flows,2007,-53662
Queenstown-Lakes District,35 Cash Receipts from Financing Activities,2007,24000
Queenstown-Lakes District,36 Cash Outgoings from Financing Activities,2007,2114
Queenstown-Lakes District,37 Net Financing Cash Flows,2007,21886
Queenstown-Lakes District,26 Operating Receipts,2008,75556
Queenstown-Lakes District,27 Operating Payments,2008,41779
Queenstown-Lakes District,28 Net Operating Cash Flows,2008,33777
Queenstown-Lakes District,29 Receipts from Investing Activities,2008,0
Queenstown-Lakes District,30 Purchase of Property Plant & Equipment,2008,57449
Queenstown-Lakes District,31 Fixed asset purchases,2008,0
Queenstown-Lakes District,32 Renewals,2008,0
Queenstown-Lakes District,33 Purchase of Other investments,2008,0
