FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
194,10403.463022,603.848563,725,0,0,603.848596,10403.457061,0.238831
195,134360.12,4583.505564,726,0,0,4583.505546,134360.128728,3.084496
196,21460.002801,922.760424,553,739,310,922.760319,21459.998873,0.492656
197,19188.991075,646.643496,727,0,0,646.643486,19188.986905,0.44052
198,3259.875664,423.524208,554,4173,310,423.52422,3259.876131,0.074837
199,5355.996565,322.50727,728,1335,310,322.507259,5355.997589,0.122957
200,4187779.64698,16024.495124,555,736,310,16024.495082,4187779.64581,96.138577
201,18832.2397,1512.047498,556,1222,310,1512.047488,18832.235595,0.43233
202,21856.331211,584.125906,729,5791,0,584.125905,21856.326953,0.501754
203,199226.585876,2005.36461,4162,828,310,2005.36457,199226.592872,4.573632
204,1012824.34694,5633.100858,557,1330,310,5633.100994,1012824.35178,23.251341
205,224108.742552,1872.909723,4163,362,310,1872.909752,224108.73805,5.144849
206,56463.049467,1240.346727,558,4466,310,1240.34672,56463.03577,1.296218
207,278312.048943,4534.920804,4164,256,310,4534.920725,278312.056161,6.389191
208,7718000.4672,30176.485904,559,734,310,30176.485846,7718000.40023,177.181618
209,203068.88969,3105.688787,560,4104,310,3105.688961,203068.887358,4.661839
210,56371.225734,1419.634772,4165,1343,310,1419.634898,56371.221325,1.29411
211,22875.577077,796.494507,4166,146,310,796.494482,22875.581939,0.525153
212,109015.204139,1278.697809,561,606,310,1278.697794,109015.194516,2.502655
213,2298198.3361,11565.523759,4167,0,0,11565.52371,2298198.32834,52.759585
214,59694.7984,1226.986944,562,5781,0,1226.987001,59694.803625,1.37041
215,4876664.64128,18009.074133,58,0,0,18009.073967,4876664.67056,111.953264
216,519094.0835,4303.4484,265,3927,310,4303.448602,519094.083508,11.916808
217,3103.895673,330.192709,563,2038,310,330.192757,3103.89997,0.071256
218,22347.975798,625.212637,4168,358,310,625.21278,22347.984728,0.513041
219,82342.51391,1402.92172,564,1008,310,1402.921811,82342.517418,1.890332
220,402.92913,115.791669,4169,797,310,115.791764,402.931872,0.00925
221,699645.194901,7309.244067,59,838,310,7309.244029,699645.175147,16.061707
222,4885617.60234,25801.21562,266,2236,310,25801.215537,4885617.49648,112.158793
223,150509.59171,2126.67277,565,2792,310,2126.672762,150509.586215,3.455238
224,509949.730483,6168.714641,4170,2413,310,6168.71472,509949.733298,11.706882
225,4481491.6387,24736.405348,60,0,0,24736.405101,4481491.53317,102.881301
226,480471.132655,3370.199238,102,2003,310,3370.199266,480471.148708,11.030144
227,4481230.13953,24812.837386,566,598,310,24812.837751,4481230.11805,102.875299
228,27798.009654,798.602129,267,1058,310,798.602095,27798.011325,0.638157
229,48611.338021,2038.766847,61,822,310,2038.766772,48611.344676,1.115967
230,105182.434961,2751.637645,4171,180,310,2751.637772,105182.444265,2.414666
231,843211.701828,4839.582001,268,2226,310,4839.581995,843211.728912,19.357555
232,10702.927915,706.083017,4172,123,310,706.082958,10702.928104,0.245706
233,3665223.15231,11421.747091,567,578,310,11421.747362,3665223.1622,84.142282
234,2377081.41536,11795.402752,103,0,0,11795.403137,2377081.49013,54.5705
235,74226.384639,1245.409373,4173,0,0,1245.409163,74226.371241,1.70401
236,90186.058058,1774.66138,62,930,310,1774.66148,90186.063933,2.070395
237,1004477.82063,10653.607753,568,571,310,10653.607569,1004477.83888,23.05973
238,6499587.32001,24280.81259,63,1121,310,24280.812915,6499587.37642,149.210592
239,165419.134918,2883.858089,4174,1330,310,2883.858235,165419.154655,3.797516
240,20093.190927,956.870967,302,1504,310,956.870937,20093.190858,0.461278
241,6425433.0103,27418.744888,269,999,310,27418.744827,6425432.96356,147.508234
242,69708.024876,1240.904718,569,2304,310,1240.904778,69708.023101,1.600282
243,38334.460536,1190.664503,303,0,0,1190.664503,38334.468236,0.880042
244,839165.06795,5407.686419,104,0,0,5407.68654,839165.133671,19.264658
245,120155.769201,1372.290358,64,5743,0,1372.290293,120155.765263,2.758408
246,12152.98,508.187362,270,3923,310,508.187323,12152.981001,0.278995
247,34269.066012,809.932663,6054,1135,310,809.932661,34269.067021,0.786713
248,46068.925442,833.989406,4175,5972,0,833.989436,46068.923866,1.057601
249,86410.56341,1492.263751,65,838,310,1492.263811,86410.565801,1.983722
250,155135.695644,1722.271975,105,1999,310,1722.271863,155135.684694,3.56144
251,25693.191095,668.794781,570,5782,0,668.794782,25693.198243,0.589837
252,813.135258,292.623359,271,999,310,292.623343,813.136756,0.018667
253,271571.765313,3357.646784,304,0,0,3357.646686,271571.772785,6.234455
254,509375.25014,2970.772386,6055,0,0,2970.772471,509375.265072,11.693694
255,187793.160533,2154.943395,272,4380,310,2154.943463,187793.162419,4.311155
256,575520.246968,7241.995945,571,0,0,7241.995898,575520.23448,13.212179
257,439649.941118,3240.296876,106,1089,310,3240.296885,439649.926494,10.093014
258,3849.776751,286.409701,4176,769,310,286.409699,3849.775906,0.088379
259,14294268.1461,41215.105187,305,2634,310,41215.10579,14294268.0932,328.152554
260,58359.090073,1356.772729,6056,0,0,1356.772763,58359.087466,1.339746
261,296420.578871,4317.064976,66,0,0,4317.064978,296420.586497,6.804908
262,752942.641383,5092.161601,4177,1344,310,5092.161641,752942.646626,17.285254
263,651384.319394,4941.143814,6057,53,310,4941.143784,651384.343836,14.953787
264,123198.471071,1448.030871,107,2011,310,1448.03088,123198.465978,2.828259
265,457440.808844,2690.427545,306,645,310,2690.427549,457440.812801,10.501438
266,56257.1597,1430.101125,572,1201,310,1430.101086,56257.161244,1.291492
267,14736698.4371,57413.630832,273,4967,310,57413.630548,14736698.3818,338.309397
268,65455.984248,1200.515935,573,0,0,1200.515973,65455.981579,1.502669
269,943599.008669,6827.297199,108,1164,310,6827.297245,943599.023276,21.66214
270,1184076.48873,7019.052967,307,2308,310,7019.053031,1184076.49758,27.182765
271,222320.365001,4058.420955,6058,1033,310,4058.420799,222320.363377,5.103794
272,109174.25506,2208.633372,4178,2150,310,2208.633326,109174.243134,2.506306
273,39832.837094,1273.638161,6059,2274,310,1273.638105,39832.826576,0.91444
274,36129.40345,904.859294,308,4856,310,904.859365,36129.404238,0.82942
275,661484.37226,5672.733318,109,2079,310,5672.7333,661484.3409,15.185652
276,248286.121399,2724.576158,4179,267,310,2724.576109,248286.094916,5.699887
277,25508.205825,820.5338,574,2831,310,820.533816,25508.204228,0.58559
278,255209.830058,2742.712439,274,764,310,2742.712378,255209.825161,5.858835
279,2489891.3675,27085.109801,6060,0,0,27085.109608,2489891.33542,57.160268
280,86137.178189,1312.547571,309,5762,0,1312.547534,86137.168826,1.977445
281,67921.504699,1150.099098,4180,360,310,1150.09915,67921.507613,1.559269
282,25754.728826,830.062907,575,4468,310,830.062938,25754.732667,0.59125
283,246912.400764,2154.875896,110,2027,310,2154.875867,246912.388267,5.668351
284,337122.784273,4498.744665,576,1131,310,4498.744722,337122.786334,7.739305
285,13880.358953,634.694227,6061,3206,310,634.694215,13880.357724,0.31865
